,0,1,2,3
0,5551,thefistofreality, ESTP - The Doers,"Last nights anthem<br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/SEkglpOTVCw?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
1,5552,immemorial, Unknown Personality," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen62"" src=""//www.youtube.com/embed/-CxKA1uETxE?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
2,5553,nasmoe, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen63"" src=""//www.youtube.com/embed/1pKcp9VUj_w?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
3,5554,bionic, ENTJ - The Executives," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen64"" src=""//www.youtube.com/embed/U631FGnXDXY?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
4,5555,idane, ISFP - The Artists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen65"" src=""//www.youtube.com/embed/jA0CHWsSOZ4?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
5,5556,kindaconfused, INFP,"<i>Late For the Kill, Early for the Slaughter</i> by Soilwork."
6,5557,crimewave, INTJ - The Scientists,<b>The Kills - Jewel Thief</b>
7,5558,immemorial, Unknown Personality," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen66"" src=""//www.youtube.com/embed/eEHuyMc7paE?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
8,5559,l-empereur, INTJ - The Scientists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen67"" src=""//www.youtube.com/embed/l12Csc_lW0Q?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
9,5560,labyrinth, INTJ - The Scientists,"WOW! CaesAug...I am surprised at what you are listening, I had no clue someone else found that song interesting... you reminded me of it and listening to it now myself... <img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/happy.gif"" title=""Happy""/>"
10,5561,l-empereur, INTJ - The Scientists,"Yeah, it's hilarious to me."
11,5562,thefistofreality, ESTP - The Doers,"<a href=""http://www.youtube.com/watch?v=zxPcmi1U25g"" rel=""nofollow"" target=""_blank"">YouTube - Incubus - Love Hurts</a>"
12,5563,heartturnedtoporcelain, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=eUKz2fvb6jY"" rel=""nofollow"" target=""_blank"">YouTube - Ruby Tuesday. Rolling Stones</a><br/> <br/> <a href=""http://www.youtube.com/watch?v=H_em_AihIO0"" rel=""nofollow"" target=""_blank"">YouTube - The Rolling Stones - Wild Horses</a><br/> <br/>
Having a Stones night while editing a paper"
13,5564,hiccups24-7, Unknown Personality,"<a href=""http://www.youtube.com/watch?v=sTygXj_8jbc"" rel=""nofollow"" target=""_blank"">YouTube - Supergrass - Mary</a><br/> <br/>
get your karaoke on!<br/>
aaaaaahhhh ahhhhhaaaaahhhaaaaaaaahhhhhhhhaahahhhh-ayyyyyaaayyyyaaaaaaa!!!"
14,5565,darkestblue, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=EN4mxCX0LG8"" rel=""nofollow"" target=""_blank"">YouTube - DJ Max Technika - 2.07. Sweetune - ??? (Extended Version)</a>"
15,5566,liontiger, ESFJ - The Caregivers,"<a href=""http://www.youtube.com/watch?v=wip3JFYNDrQ"" rel=""nofollow"" target=""_blank""><font color=""Black"">http://www.youtube.com/watch?v=c5xjSgcGTvc</font></a><br/> <br/>
So pissed off that this vid isn't embedding..."
16,5567,gwennylou, ENFP - The Inspirers,"<a href=""http://www.youtube.com/watch?v=FNyk6ema5AM"" rel=""nofollow"" target=""_blank"">YouTube - Danny Gokey - I Will Not Say Goodbye</a>"
17,5568,airmarionette, INTP - The Thinkers,"<a href=""http://www.youtube.com/watch?v=4zherMkcXdo"" rel=""nofollow"" target=""_blank"">YouTube - Passion Pit - Sleepyhead</a>"
18,5569,l-empereur, INTJ - The Scientists,"<a href=""http://www.youtube.com/watch?v=H8P7-1IzhwU"" rel=""nofollow"" target=""_blank"">YouTube - Mozart Fantasia in D Minor KV397</a>"
19,5570,idane, ISFP - The Artists,"<a href=""http://www.youtube.com/watch?v=ZvtaDqbG0BY"" rel=""nofollow"" target=""_blank"">YouTube - Lynyrd Skynyrd, Tuesday's Gone with lyrics</a>"
20,5571,hiccups24-7, Unknown Personality,"<a href=""http://www.youtube.com/watch?v=WG7XBKZuY-g"" rel=""nofollow"" target=""_blank"">YouTube - Sparta- Daivd Letterman</a><br/> <br/>
Jim Ward *drool*."
21,5572,handiace, Unknown Personality," <div class=""bbcode_container""> <div class=""bbcode_quote""> <div class=""quote_container""> <div class=""bbcode_quote_container""></div> <div class=""bbcode_postedby""> <img alt=""Quote"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/misc/quote_icon.png"" title=""Quote""/> Originally Posted by <strong>Hiccups24-7</strong> <a href=""http://personalitycafe.com/book-music-movie-reviews/208-what-song-you-listening-now-post559948.html#post559948"" rel=""nofollow""><img alt=""View Post"" class=""inlineimg"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/buttons/viewpost-right.png"" title=""View Post""/></a> </div> <div class=""message""><a href=""http://www.youtube.com/watch?v=WG7XBKZuY-g"" rel=""nofollow"" target=""_blank"">YouTube - Sparta- Daivd Letterman</a><br/> <br/>
Jim Ward *drool*.</div> </div> </div> </div> They sound pretty good.<br/> <br/>
Speaking of sound, perhaps I'm even more so bias of the acoustic guitar now, but I've been listening to this guitar composition called Memories of the Future by Antoine Dufour.  I love the sound in this piece.  Not to mention the open tuning.<br/> <br/> <a href=""http://www.youtube.com/watch?v=vRvRBQTqUKI"" rel=""nofollow"" target=""_blank"">YouTube - Antoine Dufour - Memories of the Future - www.candyrat.com</a>"
22,5573,nomenclature, ISTP - The Mechanics,"<a href=""http://www.youtube.com/watch?v=JzIK5FaC38w"" rel=""nofollow"" target=""_blank"">YouTube - Explosions In The Sky- Your Hand In Mine</a>"
23,5574,heartturnedtoporcelain, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=YGJiCIZwfas"" rel=""nofollow"" target=""_blank"">YouTube - The Tragically Hip - Impossibilium - 1995-03-28</a>"
24,5575,nasmoe, INFP - The Idealists,"This dang song got stuck in my head.<br/> <br/> <a href=""http://www.youtube.com/watch?v=UrNb397wS-A"" rel=""nofollow"" target=""_blank"">YouTube - Brandy | Have You Ever</a>"
25,5576,immemorial, Unknown Personality,"<a href=""http://www.youtube.com/watch?v=8LbkxP_UCBQ&amp;feature=related"" rel=""nofollow"" target=""_blank"">YouTube - A sad piano song</a>"
26,5577,idane, ISFP - The Artists,"<a href=""http://www.youtube.com/watch?v=QtFPdBUl7XQ"" rel=""nofollow"" target=""_blank"">YouTube - Arvo Part - ""Spiegel im Spiegel'</a>"
27,5578,poppypeedonmysofa, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=r0qBaBb1Y-U"" rel=""nofollow"" target=""_blank"">YouTube - Phil Collins - Sussudio (Official Music Video)</a>"
28,5579,neonite, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=lcWDHBSU_Mg"" rel=""nofollow"" target=""_blank"">YouTube - Machinae Supremacy - Need For Steve</a>"
29,5580,heartturnedtoporcelain, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=Kj2YEzeW-sM"" rel=""nofollow"" target=""_blank"">YouTube - Gram Parsons - The Dark End of the Street</a><br/> <br/>
Oh Gram Parsons, how do you inject so much emotion into your voice?"
30,5581,atenza-coltheart, ENFP - The Inspirers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/qdIBGAYgzNo?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
31,5582,immemorial, Unknown Personality," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen62"" src=""//www.youtube.com/embed/Q0nAbpralLk?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> <br/> <br/>
Fucking sick. That is all."
32,5583,danse-macabre, ENTP,"One of my favourite songs <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen63"" src=""//www.youtube.com/embed/HQSP6BayDR0?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
33,5584,feefafo, INTP - The Thinkers,The Dead Brothers - How Deep Is The Water
34,5585,decon, INFJ - The Protectors," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen64"" src=""//www.youtube.com/embed/wTuuK92WLE4?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
35,5586,schadenfreude, Unknown Personality," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen65"" src=""//www.youtube.com/embed/mjgm3xHr96Q?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
36,5587,thestrangewarrior, ISTJ - The Duty Fulfillers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen66"" src=""//www.youtube.com/embed/jEYUVK6LS8k?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
37,5588,decon, INFJ - The Protectors," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen67"" src=""//www.youtube.com/embed/ttcboE1GrNg?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
38,5589,nightskygirl, INFJ - The Protectors," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen68"" src=""//www.youtube.com/embed/wKv-Hj6UA7A?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
39,5590,darkestblue, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen69"" src=""//www.youtube.com/embed/mpAN1MZUO1E?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
40,5591,atenza-coltheart, ENFP - The Inspirers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/z8uH1seeCL8?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
41,5592,nasmoe, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen62"" src=""//www.youtube.com/embed/BpqOWO6ctsg?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
42,5593,feefafo, INTP - The Thinkers,Pulp - Mile End
43,5594,murderegina, INFJ - The Protectors," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen63"" src=""//www.youtube.com/embed/BWyTge3LkJQ?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
44,5595,darkestblue, INFP - The Idealists," <div class=""bbcode_container""> <div class=""bbcode_quote""> <div class=""quote_container""> <div class=""bbcode_quote_container""></div> <div class=""bbcode_postedby""> <img alt=""Quote"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/misc/quote_icon.png"" title=""Quote""/> Originally Posted by <strong>Atenza Coltheart</strong> <a href=""http://personalitycafe.com/book-music-movie-reviews/208-what-song-you-listening-now-post564758.html#post564758"" rel=""nofollow""><img alt=""View Post"" class=""inlineimg"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/buttons/viewpost-right.png"" title=""View Post""/></a> </div> <div class=""message""><a href=""http://www.youtube.com/watch?v=z8uH1seeCL8"" rel=""nofollow"" target=""_blank"">YouTube - SNSD - Run Devil Run(MV)</a></div> </div> </div> </div> wooo snsd! i love those girls"
45,5596,jerseydevil, INFP - The Idealists,"Glorious, by Muse.<br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen64"" src=""//www.youtube.com/embed/mmJ5pR7ZJR0?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
46,5597,skycloud86, INTP," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen65"" src=""//www.youtube.com/embed/6hKG5l_TDU8?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
47,5598,l-empereur, INTJ - The Scientists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen66"" src=""//www.youtube.com/embed/y9XbpN9aGpo?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
48,5599,decon, INFJ - The Protectors," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen67"" src=""//www.youtube.com/embed/-tU-hSpErIw?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
49,5600,heartturnedtoporcelain, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen68"" src=""//www.youtube.com/embed/_iejkEC_vmE?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
50,5601,airmarionette, INTP - The Thinkers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/i4EslTTh6Xg?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
51,5602,darkestblue, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen62"" src=""//www.youtube.com/embed/wCSExocMKR4?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
52,5603,hiccups24-7, Unknown Personality," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen63"" src=""//www.youtube.com/embed/Lnp9VjhDFYQ?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
53,5604,heartturnedtoporcelain, INFP - The Idealists,"Pick You Up  - Powderfinger<br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen64"" src=""//www.youtube.com/embed/4Ha-dtNXTM8?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
54,5605,atenza-coltheart, ENFP - The Inspirers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen65"" src=""//www.youtube.com/embed/yDAIPaXn4Gk?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
55,5606,darkestblue, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen66"" src=""//www.youtube.com/embed/kM_KQAh-TT0?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
56,5607,immemorial, Unknown Personality," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen67"" src=""//www.youtube.com/embed/0VmUYE4Jhqk?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
57,5608,idane, ISFP - The Artists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen68"" src=""//www.youtube.com/embed/ghPcYqn0p4Y?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
58,5609,entelechy, Unknown Personality," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen69"" src=""//www.youtube.com/embed/r1Vwy_lgyuc?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
59,5610,vaka, Unknown,"I absolutely love Bach...<br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen70"" src=""//www.youtube.com/embed/DwHpDOWhkGk?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
60,5611,decon, INFJ - The Protectors,"An aquintance of mine posted the lyrics from a cover. But someone told me who did the original. And I'm so happy that he did.<br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/Bmxyj6iInMc?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
