,0,1,2
12,"Made a man out of me A Killing machine Your baby\'s going to die Ma, your baby\'s coming home Your know they put a man on the moon Simply to prove that we all need some place to go Where we\'re not known Where we\'re not And to a lesser degree I can recall breathing easy But the deficit rolls Built up I suppose Picking up the pieces Of another fucked up reason For selling off some freedom That was never free Never absolutely Never absolutely Made a mess out of me A killing machine Sometimes when I need them If I look hard enough to see them I can find my feet 'Cause I push against gravity In and out of having them Been led by defeat So one more time\'s all I\'ll need",,
13,,,
14,Almost blue Almost doing things we used to do There's a girl here and she's almost you Almost All the things that you promised with your eyes I see in hers too Now your eyes are red from crying,,
15,,,
16,,,
17,,,
18,"Oh Devon Won't go to Heaven She's just another lost soul, about to be mine again Leave her We will receive her It is beyond your control Will you ever meet again. Devon One of eleven Who had been rendered unwhole. As a little child, She was taken And then forsaken You will remember it all Let it blow your mind again. Devon lies beyond this portal Take the word of one immortal Give your soul to me For eternity Release your life To begin another time with her End your grief with me There's another way Release your life Take your place inside the fire with her Sever Now and forever You're just another lost soul about to be mine again See her, you'll never free her You must surrender it all In your life to meet again Fire All you desire As she begins to turn cold and run out of time You will shiver Till you deliver You will remember it all Let it blow your mind again Devon lies beyond this portal Take the word of one immortal Give your soul to me For eternity Release your life To begin another time with her End your grief with me There's another way Release your life Take your place inside the fire with her. Give your soul to me For eternity Release your life To begin another time with her End your grief with me There's another way Release your life Take your place inside the fire with her Devon Among the livin' Who had been rendered unwhole As a little child She was taken, And then forsaken You will remember it all Let it blow your mind again.",,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,Go shed the old skin - for the new skin transgression Let the old flesh - rotten to trash resurrection Seize the old laws Riddled by flaws Perfection Open your mind Don't stay behind Progression Weakness - these days are over Old flesh - replaced by shiny armour New thoughts - the mind expanding Real tasks - that are demanding This body is invincible Perfection is the principle Feel the clockwork Of the new heart Precision Feed the engine Of your bloodstream Recondition Move your muscles Like a machine Direction Give your life A new dimension Extension,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,"Lord Soth,  Once an honoured knight  Of the order of Solamnia...  He built a stronghold, tall and proud,  In the shape of his order's sign.  Long time ago, he was disgraced from the gods,  For failing his duties to restore order in the realm.  He found the love of an elven maid,  Let his minions kill his wife.  The gods threw a fiery mountain  On the city of Istar,  To punish the arrogance of the high priest.  To The Catavlysm, to the end of the world.  ""noctem, redde tuae, dux bone, patriae!""  Dawning in the lands of the damned.  A new morning went by  In the darkened halls of the fallen one;  As many others did.  Condemned to await the end of all days,  Guided by the cries of banshees.  Dead and forgotten mortals,  A life without light,  A life without the warmth of blood.  Rise and fall - an empire to lose  Fall and rise - a cataclysm to come  Rise and fall - the sea changed blood red  Fall and rise - for a new order",,
44,"Hey Don't write yourself off yet It's only in your head you feel left out or looked down on Just try your best Try everything you can And don't you worry what they tell themselves when you're away It just takes some time Little girl, you're in the middle of the ride Everything, everything will be just fine Everything, everything will be all right Hey You know they're all the same You know you're doing better on your own so don't buy in Live right now Just be yourself It doesn't matter if that's good enough for someone else It just takes some time Little girl, you're in the middle of the ride Everything, everything will be just fine Everything, everything will be all right It just takes some time Little girl, you're in the middle of the ride Everything, everything will be just fine Everything, everything will be all right Hey Don't write yourself off yet It's only in your head you feel left out or looked down on Just do your best Do everything you can Don't you worry what their bitter hearts are going to say It just takes some time Little girl, you're in the middle of the ride Everything, everything will be just fine Everything, everything will be all right It just takes some time Little girl, you're in the middle of the ride Everything, everything will be just fine Everything, everything will be all right",,
45,"We're leaving together, But still it's farewell And maybe we'll come back To earth, who can tell? I guess there is no one to blame We're leaving ground (leaving ground) Will things ever be the same again? It's the final countdown The final countdown Oh We're heading for Venus (Venus) And still we stand tall 'Cause maybe they've seen us (seen us) And welcome us all, yeah With so many light years to go And things to be found (to be found) I'm sure that we'll all miss her so It's the final countdown The final countdown The final countdown The final countdown Oh The final countdown, oh It's the final count down The final countdown The final countdown The final countdown Oh It's the final count down We're leaving together The final count down We'll all miss her so It's the final countdown It's the final countdown Oh It's the final countdown, yeah",,
46,"Don't move an inch Listen for a singing Hitting in your bones like they were forks If you hear what I hear Don't just sit there We are only strumming water On this most unlikely chord You got blown shore to shore Not quite sailing Riding on the trade-winds of age Things blow in Don't just cast them You say it now, what you want to stay I was once on a long boat Star-mapping the night routes Lightening the load Just in case Things float in to be taken If you don't know by now, what will stay? So don't move an inch Don't move a single second Until the shade behind your thoughts is not confused 'Cause I’ve felt your itch I know the scent as well as any Clotting your garden Of paint or pollen Brick in your mortar Pedals to soak in On the cracks Thicker or finer Milk in your water Black in your primer Wood in your brush Now I am your cloth Whatever you want The best is upon us It’s a finicky muse  With only potential To choose",,
47,"Carry on my wayward son For there'll be peace when you are done Lay your weary head to rest Don't you cry no more Once I rose above the noise and confusion Just to get a glimpse beyond the illusion I was soaring ever higher, but I flew too high Though my eyes could see I still was a blind man Though my mind could think I still was a mad man I hear the voices when I'm dreamin', I can hear them say Carry on my wayward son For there'll be peace when you are done Lay your weary head to rest Don't you cry no more Masquerading as a man with a reason My charade is the event of the season And if I claim to be a wise man, it surely means that I don't know On a stormy sea of moving emotion Tossed about I'm like a ship on the ocean I set a course for winds of fortune, but I hear the voices say Carry on my wayward son For there'll be peace when you are done Lay your weary head to rest Don't you cry no more Carry on, you will always remember Carry on, nothing equals the splendor Now your life's no longer empty Surely heaven waits for you Carry on my wayward son For there'll be peace when you are done Lay your weary head to rest Don't you cry no more",,
48,"Lump sat alone in a boggy marsh Totally emotionless except for her heart Mud flowed up into lump's pajamas She totally confused all the passing pihranas She's lump, she's lump She's in my head She's lump, she's lump, she's lump She might be dead Lump lingered last in line for brains And the one she got was sorta rotten and insane Small things so sad that birds could land Is lump fast asleep or rockin' out with the band? She's lump, she's lump She's in my head She's lump, she's lump, she's lump She might be dead Lump was limp and lonely and needed a shove Lump slipped on a kiss and tumbled into love She spent her twenties between the sheets Life limped along at sub-sonic speeds She's lump, she's lump She's in my head She's lump, she's lump, she's lump She might be dead Is this lump outta my head? I think so Is this lump outta my head? I think so Is this lump outta my head? I think so Is this lump outta my head?",,
49,,,
50,"Don't let them see you cry When the dam breaks down And the city's covered in water 'Cause I believe we fly When the moon takes shape And I dose off, on your shoulders And the trust, that you see, it's you So breathe while you're alive Let the big band play As you tap leather with your fingers And I tried to write in style But the words just come And I write them as soon as I see them And I trust that you write them too And I trust that you love me too",,
51,"If all of my life I try and I try Baby I could never show you All this love I have inside 'Cause every day when we wake I look deep into your eyes, I realize I could kiss you in the rain forever Turn all of your pain to pleasure Fill up all your days with sunlight Make the passion last every night Give you my every possession Make you my only obsession Climb up to the sky  And pull down all the stars above But I could never love you enough If I could have one wish it would just be this That I could take you to my soul And show you all the love there is This never ending sea deep inside of me There's no stopping it baby, even if I could kiss you in the rain forever Turn all of your pain to pleasure Fill up all your days with sunlight Make the passion last every night Give you my every possession Make you my only obsession Climb up to the sky  And pull down all the stars above But I could never love you enough No matter what I do It's never as much as I want to Baby it could never be enough I could kiss you in the rain forever Turn all of your pain to pleasure Fill up all your days with sunlight Make the passion last every night Give you my every possession Make you my only obsession Climb up to the sky  And pull down all the stars above But I could never love you enough",,
52,,,
53,,,
54,"He never, ever saw it Coming at all He never, ever saw it Coming at all He never, ever saw it Coming at all It's alright, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right Hey, open wide, here comes Original sin Hey, open wide, here comes Original sin Hey, open wide, here comes Original sin It's alright, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right No one's got it all No one's got it all No one's got it a-a-all Power to the people We don't want it We want pleasure And the TVs try to rape us And I guess that they're succeeding And we're going to these meetings But we're not doing any meeting And we're trying to be faithful, but we're Cheating, cheating, cheating Hey, open wide, here comes Original sin Hey, open wide, here comes Original sin Hey, open wide, here comes Original sin It's alright, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right No one's got it all No one's got it all No one's got it a-a-all Power to the people We don't want it We want pleasure And the TVs try to rape us And I guess that they're succeeding And we're going to these meetings But we're not doing any meeting And we're trying to be faithful, but we're Cheating, cheating, cheating I'm the hero of the story Don't need to be saved I'm the hero of the story Don't need to be saved I'm the hero of the story Don't need to be saved I'm the hero of the story Don't need to be saved It's alright, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right, it's al- Right No one's got it all No one's got it all No one's got it a-a-all All All All All All, all, all, all, all All, all, all, all, all All, all, all, all, all All, all, all, all, all All, all, all, all, all All, all, all, all",,
55,"Karma police Arrest this man He talks in maths He buzzes like a fridge He's like a detuned radio Karma police Arrest this girl Her Hitler hairdo Is making me feel ill And we have crashed her party This is what you'll get This is what you'll get This is what you'll get When you mess with us Karma police I've given all I can It's not enough I've given all I can But we're still on the payroll This is what you'll get This is what you'll get This is what you'll get When you mess with us For a minute there I lost myself, I lost myself Phew, for a minute there I lost myself, I lost myself For a minute there I lost myself, I lost myself Phew, for a minute there I lost myself, I lost myself",,
56,"I got my head checked By a jumbo jet It wasn't easy But nothing is  No Woo-hoo When I feel heavy-metal And I'm pins and I'm needles Well, I lie and I'm easy All the time but I am never sure Why I need you Pleased to meet you I got my head down When I was young It's not my problem It's not my problem Woo-hoo When I feel heavy-metal And I'm pins and I'm needles Well, I lie and I'm easy All the time but I am never sure Why I need you Pleased to meet you Yeah yeah Yeah yeah Yeah yeah Oh yeah",,
57,,,
58,,,
59,,,
60,,,
61,"Now I taught the weeping willow how to cry, And I showed the clouds how to cover up a clear blue sky. And the tears that I cried for that woman are gonna flood you Big River. Then I'm gonna sit right here until I die. I met her accidentally in St. Paul (Minnesota). And it tore me up every time I heard her drawl, Southern drawl. Then I heard my dream was back Downstream cavortin' in Davenport, And I followed you, Big River, when you called. Then you took me to St. Louis later on (down the river). A freighter said she's been here but she's gone, boy, she's gone. I found her trail in Memphis, but she just walked up the block. She raised a few eyebrows and then she went on down alone. Now, won't you batter down by Baton Rouge, River Queen, roll it on. Take that woman on down to New Orleans, New Orleans. Go on, I've had enough, dump my blues down in the gulf. She loves you, Big River, more than me. Now I taught the weeping willow how to cry, cry, cry And I showed the clouds how to cover up a clear blue sky. And the tears that I cried for that woman are gonna flood you Big River. Then I'm gonna sit right here until I die.",,
62,"Lay a whisper on my pillow Leave the winter on the ground I wake up lonely, there's air of silence In the bedroom and all around Touch me now, I close my eyes and dream away It must have been love but it's over now It must have been good but I lost it somehow It must have been love but it's over now From the moment we touched 'til the time had run out Make-believing we're together That I'm sheltered by your heart But in and outside I've turned to water Like a teardrop in your palm And it's a hard winter's day, I dream away It must have been love but it's over now It was all that I wanted, now I'm living without It must have been love but it's over now It's where the water flows, it's where the wind blows It's where the wind blows It must have been love but it's over now It was all that I wanted, now I'm living without It must have been love but it's over now It's where the water flows",,
63,,,
64,,,
65,,,
66,"They keep playing sad songs on the radio And I feel like I'm so alone On this fifteen hour drive And all awhile I tell my self to just believe 'Cause nobody can give so much And never get anything (Never get anything) Everyone I use to know She said I know when I'll be calm But I'm still the same I know what you say I still know where I came from I fell asleep with the lights on I can see your the first one in a long time That had some faith in me (have faith in me) I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me In all the while I say to much of what I think And I can't remember what it's like to find meaning in anything For the life of me Everyone I use to know She said I know when I'll be calm But I'm still the same Not matter what you say I still know where I came from And all I ever wanted was so far from what I need I'll write my songs so sing along I know time heals everything I fell asleep with the lights on I can see your the first one in a long time That had some faith in me (have faith in me) I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me This is all I have This is all I have It's my life This is all I have This is all I have I fell asleep with the lights on I can see your the first one in a long time That had some faith in me  I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me I fell asleep with the lights on I can see your the first one in a long time That had some faith in me (have faith in me) I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me",,
67,,,
68,,,
69,,,
70,,,
71,"Ooh, New York Ooh, New York Grew up in a town That is famous as a place of movie scenes Noise is always loud There are sirens all around And the streets are mean If I could make it here I could make it anywhere That's what they say Seeing my face in lights Or my name in marquees Found down on Broadway Even if it ain't all it seems I got a pocketful of dreams Baby, I'm from New York, concrete jungle where dreams are made of There's nothing you can't do Now you're in New York These streets will make you feel brand new The big lights will inspire you Hear it for New York, New York, New York On the avenue There ain't never a curfew Ladies work so hard Such a melting pot On the corner selling rock Preachers pray to God Hail a gypsy cab Takes me down from Harlem to the Brooklyn Bridge Someone sleeps tonight with a hunger For more than from an empty fridge I'm going to make it by any means I got a pocketful of dreams Baby, I'm from New York, concrete jungle where dreams are made of There's nothing you can't do Now you're in New York These streets will make you feel brand new The big lights will inspire you Hear it for New York, New York, New York One hand in the air for the big city Street lights, big dreams, all looking pretty No place in the world that could compare Put your lighters in the air Everybody say yeah, yeah In New York, concrete jungle where dreams are made of There's nothing you can't do Now you're in New York These streets will make you feel brand new The big lights will inspire you Hear it for New York",,
72,,,
73,"Fear, and panic in the air I want to be free From desolation and despair And I feel like everything I saw Is being swept away When I refuse to let you go I can't get it right Get it right Since I met you Loneliness be over When will this loneliness be over Life will flash before my eyes So scattered almost I want to touch the other side And no one thinks they are to blame Why can't we see That when we bleed we bleed the same I can't get it right Get it right Since I met you Loneliness be over When will this loneliness be over Loneliness be over When will this loneliness be over",,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,"I'm in the business of misery, let's take it from the top She's got a body like an hourglass that's ticking like a clock It's a matter of time before we all run out When I thought he was mine, she caught him by the mouth I waited eight long months She finally set him free I told him I couldn't lie, he was the only one for me Two weeks and we had caught on fire She's got it out for me, but I wear the biggest smile Whoa, well I never meant to brag But I've gotten what I wanted now Whoa, it was never my intention to brag To steal it all away from you now But God does it feel so good 'Cause I got him where I want him now And if you could then you know you would 'Cause God it just feels so It just feels so good Second chances they don't ever matter, people never change Once a whore, you're nothing more, I'm sorry that'll never change And about forgiveness, we're both supposed to have exchanged I'm sorry honey, I passed out, now look this way Well there's a million other girls who do it just like you Looking as innocent as possible to get to who They want and what they like, it's easy if you do it right Well I refuse, I refuse, I refuse! Whoa, well I never meant to brag But I've gotten what I wanted now Whoa, it was never my intention to brag To steal it all away from you now But God does it feel so good 'Cause I got him where I want him now And if you could then you know you would 'Cause God it just feels so It just feels so good I watched his wildest dreams come true Not one of them involving you Just watch my wildest dreams come true Not one of them involving Whoa, well I never meant to brag But I got him where I want him now Whoa, well I never meant to brag But I've gotten what I wanted now Whoa, it was never my intention to brag To steal it all away from you now But God does it feel so good 'Cause I got him where I want him now And if you could then you know you would 'Cause God it just feels so It just feels so good",,
84,"You just walk in, I make you smile It's cool but You don't even know me You take an inch, I run a mile Can't win you're Always right behind me And we know that you could go and find some other Take or leave it or just don't even bother Caught in a craze, it's just a phase Or will this be around forever  Don't you know it's going too fast (ooh, to fast) Racing so heard you know it won't last (ooh, won't last) Don't you know why can't you see Slow it down, read the sign So you know just where you're going  Stop right now thank you very much I need somebody with a human touch Hey you always on the run Gotta slow it down baby, gotta have some fun  Do do do do Do do do do Do do do always be together  Ba da ba ba Ba da ba ba Ba da ba stay that way forever  And we know that you can go and find some other Take or leave it cos we've always got each other You know who you are and yes, you're gonna breakdown You've crossed the line so you're gonna have to turnaround  Don't you know it's going too fast (ooh, to fast) Racing so heard you know it won't last (ooh, won't last) Don't you know why can't you see Slow it down, read the sign So you know just where you're going  Stop right now thank you very much I need somebody with a human touch Hey you always on the run Gotta slow it down baby, gotta have some fun  Gotta keep it down honey, lay your back on the line Cos I don't care about the money, don't be wasting my time You need less speed, get off my case You gotta slow it down baby, just get out of my face  Stop right now thank you very much I need somebody with a human touch Hey you always on the run Gotta slow it down baby, gotta have some fun  Stop right now thank you very much I need somebody with a human touch Hey you always on the run Gotta slow it down baby, gotta have some fun  Stop right now thank you very much (Stop right now) I need somebody with a human touch (We wanna thank, we wanna thank you) Hey you always on the run (Stop right now) Gotta slow it down baby, gotta have some fun (Thank you very much, thank you very much)",,
85,"Love So many things I've got to tell you But I'm afraid I don't know how Cause there's a possibility You'll look at me differently Love Ever since the first moment I spoke your name  From then on I knew that by you being in my life Things were destined to change cause...... Love So many people use your name in vain Love Those who faith in you sometimes go astray Love Through all the ups and downs the joy and hurt Love For better or worse I still will choose you first Many days I've longed for you Wanting you Hoping for the chance to get to know you Longing for your kiss For your kiss, for your touch, for your essence (your beautiful essence) Many nights I've cried from the things you do  Felt like I could die from the thought of losing you I know that you're real With no doubt or no fears Or no questions Love So many people use your name in vain Love Those who faith in you sometimes go astray Love Through all the ups and downs the joy and hurt Love For better or worse I still will choose you first At first you didn't mean that much to me But now I know that you're all I need The world looks so brand new to me  Now that I found love Everyday I live for you And everything that I do I do it for you What I say is how I feel so believe it's true You got to know I'm true, love",,
86,,,
87,,,
88,"Auschwitz, the meaning of pain The way that I want you to die Slow death, immense decay Showers that cleanse you of your life Forced in Like cattle You run Stripped of Your life's worth Human mice, for the angel of death Four hundred thousand more to die Angel of death Monarch to the kingdom of the dead Sadistic, surgeon of demise Sadist of the noblest blood Destroying, without mercy To benefit the Aryan race Surgery, with no anesthesia Fell the knife pierce you intensely Inferior, no use to mankind Strapped down screaming out to die Angel of death Monarch to the kingdom of the dead Infamous butcher, Angel of death Pumped with fluid, inside your brain Pressure in your skull begins pushing through your eyes Burning flesh, drips away Test of heat burns your skin, your mind starts to boil Frigid cold, cracks your limbs How long can you last In this frozen water burial?  Sewn together, joining heads Just a matter of time til you rip yourselves apart Millions laid out in their Crowded tombs Sickening ways to achieve The holocaust Seas of blood, bury life Smell your death as it burns Deep inside of you Abacinate, eyes that bleed Praying for the end of Your wide awake nightmare Wings of pain, reach out for you His face of death staring down, Your blood running cold Injecting cells, dying eyes Feeding on the screams of The mutants hes creating Pathetic harmless victims Left to die Rancid angel of death Flying free Angel of death Monarch to the kingdom of the dead Infamous butcher, Angel of death Angel of death",,
89,,,
90,,,
91,"Too dangerous to keep. Too feeble to let go. And you want to bite the hand. Should have stopped this long ago. Go now, you've been set free. Another month or so you'll be gorging on me (poisoning me on 2nd and 3rd times) With your lovely smile. I see you slither away with your skin and your tail, Your flickering tongue and your rattling scales Like a real reptile. Had you coiled around my arm. How could you ever know How I loved your diamond eyes? But that was long ago. (chorus) And I should have believed eve. She said we had to blow. She was the apple of my eye. It wasn't long ago. (chorus)",,
92,,,
93,,,
94,"I'm an engine driver On a long run, on a long run Would I work beside her? She's a long one, such a long one And if you don't love me, let me go And if you don't love me let me go I'm a country lineman On a high line, on a high line So will be my grandson There are power lines in our bloodlines And if you don't love me, let me go And if you don't love me, let me go And I am a writer, writer of fictions I am the heart that you call home And I've written pages upon pages Trying to rid you from my bones My bones My bones I'm a money lender I have fortunes upon fortunes Take my hand for tender I am tortured, ever tortured And if you don't love me, let me go And if you don't love me, let me go And I am a writer, writer of fictions I am the heart that you call home And I've written pages upon pages Trying to rid you from my bones I am a writer, I am all that you have home Home And I've written pages upon pages Trying to rid you from my bones My bones My bones And if you don't love me, let me go (And if you don't love me, let me go) And if you don't love me, let me go",,
95,"Visualizing the realism of life and actuality Fuck who's ""the baddest""; a person's status depends on salary And my mentality is money-orientated I'm destined to live the dream for all my peeps who never made it 'Cause yeah, we were beginners in the hood as 5 percenters But something must of got in us cause all of us turned to sinners Now some resting in peace and some are sitting in San Quentin Others such as myself are trying to carry on tradition Keeping the effervescent street ghetto essence inside us 'Cause it provides us with the proper insight to guide us Even though, we know somehow we all gotta go But as long as we leaving thieving We'll be leaving with some kind of dough So, until that day we expire and turn to vapors Me and my capers will be somewhere else stacking plenty papers Keeping it real, packing steel, getting high 'Cause life's a bitch and then you die Life's a bitch and then you die That's why we get high 'Cause you never know when you're gonna go Life's a bitch and then you die That's why we puff la 'Cause you never know when you're gonna go I woke up early on my born day, I'm twenty, it's a blessing The essence of adolescence leaves my body, now I'm fresh and My physical frame is celebrated cause I made it One quarter through life some Godly-like thing created Got rhymes three hundred sixty five days annual plus some Load up the mic and bust one, cuss while I puffs from My skull cause it's pain in my brain, vein, money maintain Don't go against the grain, simple and plain When I was young, at this I used to do my thing hard Robbing foreigners, take their wallets, their jewels And rip their green cards Dipped to the projects flashing my quick cash and Got my first piece of ass smoking blunts with hash Now it's all about cash in abundance Niggas I used to run with is rich or doing years in the hundreds I switched my motto; instead of saying ""fuck tomorrow"" That buck that bought a bottle could've struck the lotto Once I stood on the block, loose cracks produce stacks I cooked up and cut small pieces to get my loot back Time is Illmatic, keep static like wool fabric Pack a 4-matic that crack your whole cabbage Life's a bitch and then you die That's why we get high 'Cause you never know when you're gonna go Life's a bitch and then you die That's why we puff la 'Cause you never know when you're gonna go",,
96,,,
97,,,
98,"You're the one that's lost now  You shallow shit with that sad little look on your face  Why don't you just grow yourself some wings of pity? Lose track of where you are, all dolled up as a star?  You make me laugh  Suck me  Destroy  Even when you talk big, you do it by protecting yourself  Suck me",,
99,,,
100,"Couldn't save you from the start Love you so it hurts my soul Can you forgive me for trying again Your silence makes me hold my breath Oh time has passed you by Oh, for so long I've tried to shield you from the world Ooh, you couldn't face the freedom on your own Here I am left in silence You gave up the fight You left me behind All that's done's forgiven You'll always be mine I know deep inside All that's done's forgiven I watched the clouds drifting away Still the sun can't warm my face I know it was destined to go wrong You were looking for the great escape To chase your demons away Oh, for so long I've tried to shield you from the world Oh, you couldn't face the freedom on your own And here I am left in silence You gave up the fight You left me behind All that's done's forgiven You'll always be mine I know deep inside All that's done's forgiven I've been so lost since you've gone Why not me before you? Why did fate deceive me? Everything turned out so wrong Why did you leave me in silence? You gave up the fight You left me behind All that's done's forgiven You'll always be mine I know deep inside All that's done's forgiven",,
101,,,
102,,,
