,0,1,2
0,"I have to block out thoughts of you so I don't lose my head They're crawling like a cockroach leaving babies in my bed Dropping little reels of tape to remind me that I'm alone Playing movies in my head that make a porno feel like home There's a burning in my pride, A nervous bleeding in my brain An ounce of peace is all I want for you Will you never call again? And will you never say that you love me Just to put it in my face? And will you never try to reach me? It is I that wanted space Hate me today Hate me tomorrow Hate me for all the things I didn't do for you Hate me in ways Yeah, ways hard to swallow Hate me so you can finally see what's good for you I'm sober now for three whole months, It's one accomplishment that you helped me with The one thing that always tore us apart Is the one thing I won't touch again In a sick way I want to thank you For holding my head up late at night While I was busy waging wars on myself, You were trying to stop the fight You never doubted my warped opinions On things like suicidal hate You made me compliment myself When it was way too hard to take So I'll drive so fucking far away That I never cross your mind And do whatever it takes in your heart To leave me behind Hate me today Hate me tomorrow Hate me for all the things I didn't do for you Hate me in ways Yeah, ways hard to swallow Hate me so you can finally see what's good for you And with a sad heart, I say bye to you and wave Kicking shadows on the street For every mistake that I had made And like a baby boy, I never was a man Until I saw your blue eyes crying, And I held your face in my hand And then I fell down yelling, ""make it go away!"" Just make a smile come back And shine just like it used to be And then she whispered, ""How can you do this to me?"" Hate me today Hate me tomorrow Hate me for all the things I didn't do for you Hate me in ways Yeah, ways hard to swallow Hate me so you can finally see what's good for you For you For you For you",,
1,When I grow up I want to be a forester Run through the moss on high heels That's what I'll do Throwing out boomerang Waiting for it to come back to me When I grow up I want to live near the sea Crab claws and bottles of rum That's what I'll have Staring at the seashell Waiting for it to embrace me I put my soul in what I do Last night I drew a funny man With dark eyes and a hanging tongue It goes way bad I never liked a sad look From someone who wants to be loved by you I'm very good with plants When my friends are away They let me keep the soil moist On the seventh day I rest For a minute or two Then back on my feet and cry for you You've got cucumbers on your eyes Too much time spent on nothing Waiting for a moment to arise The face in the ceiling And arms too long I wait for him to catch me Waiting for you to embrace me,,
2,,,
3,"Send us a blindfold, send us a blade Tell the survivors help is on the way I was a blind fool, never complained All the survivors singing in the rain I was the one with the world at my feet Got us a battle, leave it up to me Find us a trap door, find us a plane Tell the survivors help is on the way I was a blind fool, never complained All the survivors singing in the rain I was the one with the world at my feet Got us a battle, leave it up to me What it is and where it stops nobody knows You gave me a life I never chose I wanna leave but the world won't let me go Wanna leave but the world won't let me go I was the one with the world at my feet Got us a battle, leave it up to me Leave it up to me",,
4,"And you are no longer river to me And you are no longer river to me Though your coarsing remain Eager to acquaint me And you are no longer docile stream And you are no longer docile stream Though your patience proves you into ease And once this spark met kindling Forgets its gentle ambling Becoming heat, becoming steam Becoming luminescent glee Atoms splinter, sparkling Alive and nimble symmetry And all along, this glistening Blankets we and everything Shadows dance triumphantly A wordless whisper sighs and pleas Little deaths envelope thee You and I and a flame make three You and I and a flame make three You and I and a flame make three And you are not glassy bay to me And you are not glassy bay to me Though my tired fleet abides in your gentle breeze And you are now vast and open sea And my mind travels you endlessly And you beckon, toss and toss and swallow me And once this spark met kindling Forgets its gentle ambling Becoming heat, becoming steam Becoming luminescent glee Atoms splinter, sparkling Alive and nimble symmetry And all along, this glistening Blankets we and everything Shadows dance triumphantly A wordless whisper sighs and pleas Little deaths envelop thee You and I and a flame makes three You and I and a flame make three You and I and a flame make three You and I and a flame make three You and I and a flame make three You and I and a flame make three You and I and a flame make three You and I and a flame make three You and I and a flame make three You and I and a flame make three You and I and a flame make three",,
5,,,
6,,,
7,,,
8,"They keep playing sad songs on the radio And I feel like I'm so alone On this fifteen hour drive And all awhile I tell my self to just believe 'Cause nobody can give so much And never get anything (Never get anything) Everyone I use to know She said I know when I'll be calm But I'm still the same I know what you say I still know where I came from I fell asleep with the lights on I can see your the first one in a long time That had some faith in me (have faith in me) I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me In all the while I say to much of what I think And I can't remember what it's like to find meaning in anything For the life of me Everyone I use to know She said I know when I'll be calm But I'm still the same Not matter what you say I still know where I came from And all I ever wanted was so far from what I need I'll write my songs so sing along I know time heals everything I fell asleep with the lights on I can see your the first one in a long time That had some faith in me (have faith in me) I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me This is all I have This is all I have It's my life This is all I have This is all I have I fell asleep with the lights on I can see your the first one in a long time That had some faith in me  I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me I fell asleep with the lights on I can see your the first one in a long time That had some faith in me (have faith in me) I tell my friends, it won't be long Before it's time for me to come back home It feels like I'm ready for anything If you can wait for me",,
9,I believed in us baby I believed in this love From we would always Be together To I would always be the only one You said I'd never be lonely Now here I am all alone I let you take me from This is forever To that's just the way love goes Breakin' up's The best thing we'll ever do Couldn't go back Even if I wanted to Right now We're broken down baby Neither one of us Wants to be somebody else's maybe Makin' up's The best thing we'll never do Your words I still remember you Breakin' it to me Goin' right through me I couldn't go back Even if I wanted to Said I been getting all your messages You're beggin' me to call you up How you were wrong about it And all you think about is How you cant quit thinking bout us I been lying here cryin' baby Going back and forth all night From I cant live without ya To better off without ya I keep coming back to you were right Breakin' up's the best thing we'll ever do Couldn't go back even if I wanted to Right now We're broken down baby Neither one of us Wants to be somebody else's maybe Makin' up's The best thing we'll never do Your words I still remember you Breakin' it to me Goin' right through me I couldn't go back Even if I wanted to Even if I wanted to Going right through me Your words Going right through me Breakin' up's the best thing we'll ever do Breakin' up's the best thing we'll ever do Breakin' up Breakin' up's The best thing we'll ever do Couldn't go back Even if I wanted to Right now We're broken down baby Neither one of us Wants to be somebody elses maybe Makin' up's The best thing I'll never do Your words I just want to thank you for Breakin' it to me Goin' right through me I couldn't go back Even if I wanted to Even if I wanted to Breakin' up It's the best thing we'll ever do,,
10,,,
11,,,
