post,username,mbti,titles_all
18239,kyora, Unknown,['Hidden Moon - The Moon Embracing The Sun OST']
18240,promethea, Unknown Personality,[]
18241,vanishing-point, Unknown Personality,['shakespears sister  moonchild']
18242,sonny, Unknown,['The Fray - How to Save a Life ']
18243,sophiascorpia, Unknown Personality,['Promise Me by Lea Salonga']
18244,sophiascorpia, Unknown Personality,['Hidden Moon - The Moon Embracing The Sun OST']
18245,kyora, Unknown,[]
18246,theprocrastinatingmaster, INTP - The Thinkers,[]
18247,surreal-snake, INFJ,['Ministry - Lieslieslies']
18248,whereverimayroam, Unknown Personality,"['The Fast and the Furious Tribute - ""Adrenaline']"
18249,frosty, INFP,[]
18250,yet-another-intj, INTJ,['Yann Tiersen - Le Matin ']
18251,surreal-snake, INFJ,['The Eagles - Hotel California-offical Song..']
18252,eerie, INTP - The Thinkers,['Black Magic Woman/Gypsy Queen ~ Santana']
18253,eerie, INTP - The Thinkers,['niyaz - allahi allah']
18254,eerie, INTP - The Thinkers,[]
18255,studio-basecat, INTP - The Thinkers,['Keane - A Bad Dream']
18256,kaiserinrose, ISFJ - The Nurturers,['Beats Antique - Trinkit']
18257,drewbie, ISTP - The Mechanics,['Natalia Kills + Marina & The Diamonds  - Radioactive Mirrors']
18258,bipedal-p-314, INTP,['MESHUGGAH - Bleed ']
18259,whereverimayroam, Unknown Personality,[]
18260,nadej, INFP,[]
18261,theprocrastinatingmaster, INTP - The Thinkers,['King Missile- Detachable Penis']
18262,aware, INTJ - The Scientists,['Kosheen - Guilty']
18263,the-king-of-dreams, ENFP - The Inspirers,"[""DJ's At Work - Someday ""]"
18264,yet-another-intj, INTJ,['PJ Harvey - Under ether']
18265,the-king-of-dreams, ENFP - The Inspirers,[]
18266,the-king-of-dreams, ENFP - The Inspirers,['after 7-ready or not']
18267,subtle-murder, ENFP - The Inspirers,[]
18268,cityofcircuits, Unknown,['Clark - The Autumnal Crash']
18269,an-absurd-man, Unknown Personality,['Kaskade  - Eyes']
18270,aya-the-abysswalker, ENFP,['Road to Viridian City  - Super Smash Bros. Brawl']
18271,eerie, INTP - The Thinkers,['Niyaz - Beni Beni']
18272,orchidion, Unknown,['Thee Oh Sees - Tidal Wave']
18273,eerie, INTP - The Thinkers,['Ice Cube  - It Was A Good Day ']
18274,kaiserinrose, ISFJ - The Nurturers,['Bonobo - Cirrus']
18275,neonbomb, INFP - The Idealists,[]
18276,yet-another-intj, INTJ,['Linkin Park-Nobody\\xc2\\xb4s Listening ']
18277,helios, ENTJ - The Executives,['Pavane']
18278,yet-another-intj, INTJ,['Donnie Darko   For Whom The Bell Tolls']
18279,handiace, Unknown Personality,['Kettel - Kroost Kids']
18280,noctis, INFP,['Navras - Juno Reactor']
18281,helios, ENTJ - The Executives,[]
18282,kitagawa-megumi, ENTP - The Visionaries,['Massive Attack - Paradise Circus']
18283,lycrester, INFJ - The Protectors,['Samuel Barber - Adagio for Strings']
18284,jetsune-lobos, INTP - The Thinkers,"['Donnie Darko   For Whom The Bell Tolls', 'Blue October - Dirt room']"
18285,helios, ENTJ - The Executives,['Advent Children - The Promised Land ']
18286,ruru, INTJ - The Scientists,['Bastion - The Singer  Remastered']
18287,wormwood, Unknown Personality,[]
18288,cityofcircuits, Unknown,[]
18289,refugee, INFP - The Idealists,[]
18290,orchidion, Unknown,['Gale whole song from Breaking Bad']
18291,eos_machai, INFP - The Idealists,"['Pink Floyd Pigs  Animal', 'Morrissey - Margaret on the Guillotine', 'Billy Bragg - Between The Wars', 'Specials - maggies farm']"
18292,yet-another-intj, INTJ,['solid state survivor - ymo ']
18293,yet-another-intj, INTJ,"['Gale whole song from Breaking Bad', 'Bret sings Korean Karaoke - Flight of the Conchords']"
18294,eos_machai, INFP - The Idealists,[]
18295,serenesam, Unknown Personality,['Justin Timberlake - Mirrors']
18296,gammagon, Unknown,[]
18297,yet-another-intj, INTJ,"['Borodin - Prince Igor, Polovtsian Dances, \\xd0\\x9f\\xd0\\xbe\\xd0\\xbb\\xd0\\xbe\\xd0\\xb2\\xd0\\xb5\\xd1\\x86\\xd0\\xba\\xd0\\xb8\\xd0\\xb5 \\xd0\\xbf\\xd0\\xbb\\xd1\\x8f\\xd1\\x81\\xd0\\xba\\xd0\\xb8, Ta\\xc5\\x84ce Po\\xc5\\x82owieckie']"
18298,yet-another-intj, INTJ,[]
18299,hikikomori, Unknown,[]
18300,proteus, INTP - The Thinkers,[]
18301,helios, ENTJ - The Executives,['LANA DEL REY - LUCKY ONES ']
18302,m12, INTP - The Thinkers,[]
18303,deftonepassenger, INTP - The Thinkers,['Alice in Chains - Heaven Beside You']
18304,yet-another-intj, INTJ,['March of Death - Zack de la Rocha and DJ Shadow']
18305,promethea, Unknown Personality,[]
18306,littleorange, ISFP,[]
18307,theprocrastinatingmaster, INTP - The Thinkers,['Billy Joel - Piano Man ']
18308,agile, ENFP - The Inspirers,['Knotty Pine - Dirty Projectors & David Byrne']
18309,everyday-ghoul, ENFJ - The Givers,['Misty Mountains  The Hobbit -- Trailer Theme Song 10 hours straight edit!! ']
18310,sonny, Unknown,['Dreams of Sanity- The Phantom of the Opera']
18311,promethea, Unknown Personality,"[' CREAM - ""Disraeli Gears']"
18312,hikikomori, Unknown,"['EESTI LAUL 2013: Winny Puhh - ""Meiecundimees \\xc3\\xbcks Korsakov l\\xc3\\xa4ks eile L\\xc3\\xa4tti']"
