,0,1,2,3
0,1,crazysah, Unknown Personality,"What Song are you listening to now?<br/> <br/>
I am currently listening to Oasis - Falling Down<br/> <br/>
Crazysah"
1,2,happy, Unknown,"Austin Powers - Daddy wasn't there<br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/GuTevbwE49A?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
2,3,snail, INFP - The Idealists,"I'm listening to my Moody Blues box set bonus disc, because the flute part in the live version of Timothy Leary's Dead is amazing."
3,4,trope, INTP - The Thinkers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen62"" src=""//www.youtube.com/embed/yqnKbdqjh2I?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
4,5,snail, INFP - The Idealists,I'm not listening to music for a change.  It is worthy of being mentioned only because it is rare for me to experience silence.
5,6,nephilimazrael, INTJ - The Scientists,"<a href=""http://uk.youtube.com/watch?v=bR-Sl71N-So"" rel=""nofollow"" target=""_blank"">People are People</a> - Depeche Mode"
6,7,lunniey, INFJ - The Protectors,"currently listen to jason mraz album...<br/>
i just love his vocal.."
7,8,crazysah, Unknown Personality,Better Than This - Keane
8,9,sandova,," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen63"" src=""//www.youtube.com/embed/Eg30ps__yEQ?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> <br/> <br/>
I love secret romance.. I'm hopeless <img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/blushed.gif"" title=""Blushed""/>"
9,10,sandova,,"And also... <br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen64"" src=""//www.youtube.com/embed/-KnwOuWici8?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
10,11,t-guy, ESTJ - The Guardians,Rolling Stones - Sympathy for the Devil
11,12,happy, Unknown," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/QXJL5B3Lb3s?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
12,13,snail, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen62"" src=""//www.youtube.com/embed/5KCy1q7MWAQ?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> <br/> <br/>
Isn't this adorable?"
13,14,nephilimazrael, INTJ - The Scientists,"<img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/shocked.gif"" title=""Shocked""/> the pascals of pressure would be immense under those pointy feet!!"
14,15,snail, INFP - The Idealists,"Oh, you INTJs!  Always so practical!  <img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/tongue.gif"" title=""Tongue""/>"
15,16,behope, INTP - The Thinkers,All Dal By The Butthole Surfers from the Humpty Dumpty LSD album.
16,17,snail, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen63"" src=""//www.youtube.com/embed/ukyHLv8Ulg0?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
17,18,happy, Unknown,"I'm listening to what snail is listening too. I love this song.<img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/wink.gif"" title=""Wink""/>"
18,19,daylightsun, ENTJ - The Executives,"I am do going to die listening to this song.  <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen64"" src=""//www.youtube.com/embed/erc40wCxRZo?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
19,20,surreal-breakfast, INFP - The Idealists,The Ballad of You Me &amp; Pooneil - Jefferson Airplane
20,21,crazysah, Unknown Personality,Radiohead - Nude
21,22,trope, INTP - The Thinkers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/vS0QjEeNYpM?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
22,23,aurora-fire, INFP - The Idealists,"<a href=""http://uk.youtube.com/watch?v=2Or_hckyPOw&amp;feature=related"" rel=""nofollow"" target=""_blank"">YouTube - Muse- Ruled by Secrecy - KROQ Almost Acoustic Christmas 2007</a>"
23,24,behope, INTP - The Thinkers,Linger Fickin' Good- The Revolting Cocks
