,0,1,2,3,4,5,6,7,8,9
379,"I am eternal, the ruler of the earth and sky I am infernal, I am on a quest to see the heavens die My fascination with the dead Won't be fulfilled here on this killing spree And when they dream that's when my spirit arise And when they scream a little part of them dies I find my way into the minds of the weak They are led astray, it's now my path that they seek You die before me Your destiny is in my hands You are soon to see My one desire is to rule this world eternally And when they dream that's when my spirit arise And when they scream a little part of them dies I find my way into the minds of the weak They are led astray, it's now my path that they seek You will never reach me, I am the darkest one You will never heal me, a mind beyond repair I will make you fear me, I slay your hopes and dreams You're lost forever in this world of mine I devastate your life and crush your every dream No human being will perceive your silent scream The king of rapture will betray your soul tonight The life of yours is soon to end in brutal death Don't look me in the eyes if you are awake Just a glimpse of me will put your life at stake I am the horizon, I am the serpent of the dead My gaze will burn your skin and flesh into a crisp Like fire, like fire This very morbid mind of mine Will set your course into and early grave I twist your fate and seal your doom I bid you welcome, my eternal slave",,,,,,,,,
380,,,,,,,,,,
381,,,,,,,,,,
382,"As the people here grow colder I turn to my computer And spend my evenings with it Like a friend I was loading a new program I had ordered from a magazine Are you lonely, are you lost? This voice console is a must I press Execute Hello, I know that you've been feeling tired I bring you love and deeper understanding Hello, I know that you're unhappy I bring you love and deeper understanding Well I've never felt such pleasure Nothing else seemed to matter I neglected my bodily needs I did not eat, I did not sleep The intensity increasing 'Til my family found me and intervened But I was lonely, I was lost Without my little black box I pick up the phone and go Execute Hello, I know that you've been feeling tired I bring you love and deeper understanding Hello, I know that you're unhappy I bring you love and deeper understanding I turn to my computer like a friend I need deeper understanding Give me deeper understanding",,,,,,,,,
383,,,,,,,,,,
384,,,,,,,,,,
385,,,,,,,,,,
386,,,,,,,,,,
387,,,,,,,,,,
388,"Baby you've got a (ah) ni-ni-nightmare Baby you've got a nightmare (oh babe) Baby you've got, a nightmare! You wait there now babe, oh yeh Baby you've got a nightm-m-m-mare Baby you've got a nightmare (oh babe) Baby you've got, a nightmare! You wait there now babe, oh yeh Baby you've got a (ah) ni-ni-nightmare Baby you've got a nightmare (oh babe) Baby you've got, a nightmare! You wait Call 911 now! Bass drop. You can have yours! Bass drop Bass drop. You can have yours! Bass drop. You can have yours! Baby you've got a (ah) ni-ni-nightmare Baby you've got a nightmare (oh babe) Baby you've got, a nightmare! You wait Call 911 now! Bass drop. You can have yours! Bass drop. You can have yours! Bass drop. You can have yours! Baby you've got a (ah) ni-ni-nightmare Baby you've got a nightmare (oh babe) Baby you've got - a nightmare! You wait there now babe, oh yeh Baby you've got a (ah) ni-ni-ninightmare Baby you've got a nightmare (oh babe) Baby you've got, a nightmare! You wait there now babe, oh yeh",,,,,,,,,
389,Wondering what I'm doing tonight  I've been in the closet and feel all right Ran out of Carbona Mom threw out the glue Ran out of paint and roach spray too  It's TV's fault why I am this way Mom and pop want to put me away  From the early morning movie to the late late show After it's over nowhere to go  And I'm not sorry for the things I do My brain is stuck from shooting glue  I'm not sorry for the things I do Carbona not glue,,,,,,,,,
390,,,,,,,,,,
391,,,,,,,,,,
392,,,,,,,,,,
393,,,,,,,,,,
394,,,,,,,,,,
395,,,,,,,,,,
396,,,,,,,,,,
397,,,,,,,,,,
398,,,,,,,,,,
399,,,,,,,,,,
400,"Hey, yeah, I wanna shoop, baby Ooh, how you doin', baby? No, not you You, the bow-legged one, yeah What's your name? Damn, that sounds sexy uh Here I go, here I go, here I go again (again?) Girls, what's my weakness? (Men!) Ok then, chillin', chillin' Mindin' my business (word) Yo, Salt, I looked around, and I couldn't believe this I swear, I stared, my niece my witness The brother had it goin' on with somethin' kinda, uh Wicked, wicked (ooh) had to kick it I'm not shy so I asked for the digits A ho? No, that don't make me See what I want slip slide to it swifty Felt it in my hips so I dipped back to my bag of tricks Then I flipped for a tip, make me wanna do tricks for him Lick him like a lollipop should be licked Came to my senses and I chilled for a bit Don't know how you do the voodoo that you do So well it's a spell, hell, makes me wanna shoop shoop shoop Shoop shoop ba-doops shoop ba-doop Shoop ba-doop ba-doop Ba-doop shoop ba-doop shoop Ba-doop shoop ba-doop, ba-doop, ba-doop Umm, you're packed and you're stacked 'specially in the back Brother, wanna thank your mother for a butt like that (thanks, Mom) Can I get some fries with that shake-shake boobie? If looks could kill you would be an uzi You're a shotgun, bang! What's up with that thang? I wanna know how does it hang? Straight up, wait up, hold up, Mr. Lover Like Prince said you're a sexy mutha well-a I like 'em real wild, b-boy style by the mile Smooth black skin with a smile Bright as the sun, I wanna have some fun Come and give me some of that yum-yum Chocolate chip, honey dip, can I get a scoop? Baby, take a ride in my coupe, you make me wanna Shoop shoop ba-doop (Baby, hey) Ba-doop, ba-doop, ba-doop, ba-doop Shoop ba-doop ba-doop ba-doop (Don't you know I wanna shoop, baby) Shoop shoop ba-doop shoop Ba-doop shoop, ba-doop, ba-doop Ba-doop shoop, ba-doop, shoop Ba-doop shoop, ba-doop, ba-doop, ba-doop Well let me bring you back to the subject Pep's on the set Make you get hot, make you work up a sweat When you skip-to-my-lou, my darling Not falling in love but I'm falling for your (super sperm) When I get ya betcha bottom dollar you were best under pressure (Yo, Sandy, I wanna like, taste you) Getcha getcha lips wet 'cause it's time to have Pep On your mark, get set, go, let me go, let me shoop To the next man in the three-piece suit I spend all my dough, ray me cutie Shoop shoop a-doobie like Scoobie Doobie Doo I love you in your big jeans, you give me nice dreams You make me wanna scream, ooh ooh ooh I like what ya do, when you do What ya do, you make me wanna shoop Shoop shoop ba-doop Shoop ba-doop Shoop ba-doop ba-doop Ba-doop shoop ba-doop shoop Ba-doop shoop ba-doop ba-doop, ba-doop (Oh, my goodness, girl, look at him He's the cutest brother in here And he's comin' this way! Ooh!) S and the P wanna kick with me, cool (uh-huh) But I'm wicked, G, (yeah) hit skins but never quickly (that's right) I hit the skins for the hell of it, just for the yell I get Mmm mmm mmm, for the smell of it (smell it) They want my bod, here's the hot rod (hot rod) Twelve inches to a yard (damn) and have ya soundin' like a retard (yeah) Big 'Twan Love-Her, six-two, wanna hit you So what you wanna do? What you wanna do? Mmmm, I wanna shoop Shoop shoop ba-doop shoop ba-doop Shoop ba-doop ba-doop, ba-doop Shoop shoop ba-doop shoop ba-doop Shoop ba-doop ba-doop, ba-doop Shoop shoop ba-doop shoop ba-doop Shoop ba-doop ba-doop, ba-doop (Oh you make me wanna) Shoop shoop ba-doop shoop ba-doop (hey yeah I wanna shoop baby) Shoop ba-doop ba-doop, ba-doop Shoop shoop ba-doop shoop ba-doop Shoop ba-doop ba-doop, ba-doop (Oh you make me wanna) Shoop shoop ba-doop shoop ba-doop Shoop ba-doop ba-doop, ba-doop (hey yeah I wanna shoop baby) Shoop shoop ba-doop shoop ba-doop Shoop ba-doop ba-doop, ba-doop (oh, you make me wanna) Shoop shoop ba-doop shoop ba-doop (hey yeah, I wanna shoop you baby) Shoop ba-doop ba-doop, ba-doop",,,,,,,,,
401,Who wants to be right as rain It's better when something is wrong You get excitement in your bones And everything you do's a game When night comes and you're on your own You can say I chose to be alone Who wants to be right as rain It's harder when you're on top 'Cause when hard work don't pay off And I'm tired there ain't no room in my bed As far as I'm concerned So wipe that dirty smile off We won't be making up I've cried my heart out And now I've had enough of love Who wants to be riding high When you'll just crumble back on down You give up everything you are And even then you don't get far They make believe that everything Is exactly what it seems But at least when you're at your worst You know how to feel things 'Cause when hard work don't pay off And I'm tired there ain't no room in my bed As far as I'm concerned So wipe that dirty smile off We won't be making up I've cried my heart out And now I've had enough of love Go ahead and still my heart To make me cry again 'Cause it will never hurt As much as it did then We were both right And no one had blame But now I give up On this endless game 'Cause who wants to be right as rain It's better when something is wrong I get excitement in my bones Even though everything's a strain When night comes and I'm on my own You should know I chose to be alone Who wants to be right as rain It's harder when you're on top 'Cause when hard work don't pay off And I'm tired there ain't no room in my bed As far as I'm concerned So wipe that dirty smile off We won't be making up I've cried my heart out And now I've had enough of love No room in my bed As far as I'm concerned So wipe that dirty smile off We won't be making up I've cried my heart out And now I've had enough of love,,,,,,,,,
402,"I want to shut you down  Love your sight and sound  I want to spin you round, till your. underground  I want to strip you down  Till you feel the round  I want to feel your shine  I want to waste some time  I want to paint my face  Like a model out of place  Cause I'm supposed to dare  The machine will tear  I'll throw up sometime  And then you'll be mine  I want to serve you down  While my mind is on the ground  I want to move your switch  Make you go squish  My desiring machine  Yeah it's made pretty clean  Now I'll turn the dial  And I'll put you in a pile  Modern women cry  Modern women don't cry  Cry don't cry  You hut me with your lie  Touch the fire in the rain and  See the children  Stop their play and  Look for shelter  In the garden of their  Make believe and I  I believe  Perfection is a  I can see what you're going through but  I can't melt my head to what you're  Whisked away to light the bomb a  Thousand leaves are left to stay and...",,,,,,,,,
403,"Why do they always send the poor? Barbarisms by barbaras With pointed heels Victorious victorious kneel For brand new spankin' deals Marching forward hypocritic and Hypnotic computers You depend on our protection Yet you feed us lies from the tablecloth Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Kneeling roses disappearing into Moses' dry mouth Breaking into fort knox stealing Our intentions Hangers sitting dripped in oil Crying freedom Handed to obsoletion Still you feed us lies from the tablecloth Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Blast off! It's party time! And we don't live in a fascist nation! Blast off! It's party time! And where the fuck are you? Where the fuck are you? Where the fuck are you? Why don't presidents fight the war? Why do they always send the poor? Why don't presidents fight the war? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? Kneeling roses disappearing into Moses' dry mouth Breaking into fort knox stealing Our intentions Hangers sitting dripped in oil Crying freedom Handed to obsoletion, Still you feed us lies from the tablecloth Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sunshine Everybody's going to the party, have a real good time Dancing in the desert, blowing up the sun Where the fuck are you? Where the fuck are you? Why don't presidents fight the war? Why do they always send the poor? Why don't presidents fight the war? Why do they always send the poor? Why do they always send the poor? Why do they always send the poor? They always send the poor! They always send the poor!",,,,,,,,,
404,"Fading, falling, lost in forever Will I find a way to keep it together? Am I strong enough to last through the weather In the hurricane of my life? Can it be a conscious decision? That I look for ways to alter my vision? Am I speeding towards another collision In the alleyways of my life? Memories don't lie You're no better than Memories don't lie You're no better than Memories don't lie You're no better than Those who have fallen Memories don't lie You're no better than Memories don't lie You're no better than Memories don't lie You're no better than Those who have fallen And please believe me That my eyes deceive me Don't stand me up Just leave me I have fallen again This is the end Pain redefined Shaking, burning up with the fever In the realm of pain, I am the deceiver Now I lie to myself, so I can believer her As she dissembles my life I cannot dispel the illusion All my hopes and dreams are drowned by confusion Can I find a way to make a solution That will reconfigure my life? Memories don't lie You're no better than Memories don't lie You're no better than Memories don't lie You're no better than Those who have fallen Memories don't lie You're no better than Memories don't lie You're no better than Memories don't lie You're no better than Those who have fallen And please believe me That my ears deceive me Don't stand me up Just leave me I have fallen again This is the end Pain Redefined And I know that stillness shatters We have all been frightened by the The sound of footsteps on the Pavement of our lives I stand and fight I'm not afraid to die Elochai Bury me tonight Please believe me That the world deceives me Don't stand me up Just leave me I have fallen again This is the end Pain Redefined",,,,,,,,,
405,"This ain't a song for the broken-hearted No silent prayer for the faith-departed I ain't gonna be just a face in the crowd You're gonna hear my voice When I shout it out loud It's my life It's now or never I ain't gonna live forever I just want to live while I'm alive (It's my life) My heart is like an open highway Like Frankie said I did it my way I just want to live while I'm alive It's my life This is for the ones who stood their ground It's for Tommy and Gina who never backed down Tomorrow's getting harder, make no mistake Luck ain't enough You've got to make your own breaks It's my life And it's now or never I ain't gonna live forever I just want to live while I'm alive (It's my life) My heart is like an open highway Like Frankie said I did it my way I just want to live while I'm alive It's my life You better stand tall when they're calling you out Don't bend, don't break, baby, don't back down It's my life And it's now or never I ain't gonna live forever I just want to live while I'm alive (It's my life) My heart is like an open highway Like Frankie said I did it my way I just want to live while I'm alive (It's my life)",,,,,,,,,
406,,,,,,,,,,
407,"If you're having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one I got the rap patrol on the gat patrol Foes that want ta make sure my casket's closed Rap critics that say he's ""Money Cash Hoes"" I'm from the hood, stupid?what type of facts are those? If you grew up with holes in your zapatos You'd celebrate the minute you was having dough I'm like ""Fuck critics"" you can kiss my whole asshole If you don't like my lyrics, you can press fast forward? Got beef with radio if I don't play they show They don't play my hits, well, I don't give a shit, so Rap mags try and use my black ass So advertisers can give 'em more cash for ads, fuckers I don't know what you take me as Or understand the intelligence that Jay-Z has I'm from rags to riches, niggas I ain't dumb I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Year's '94 and my trunk is raw In my rear view mirror is the motherfucking law I got two choices y'all, pull over the car or, hmm, Bounce on the devil, put the pedal to the floor Now I ain't trying to see no highway chase with Jake Plus I got a few dollars I could fight the case So I, pull over to the side of the road I heard ""Son, do you know why I'm stopping you for?"" Cause I'm young and I'm black and my hat's real low Or do I look like a mind reader, sir?  I don't know Am I under arrest or should I guess some mo? ""Well you was doing fifty-five in the fifty-four"", uh huh ""License and registration and step out of the car ""Are you carrying a weapon on you, I know a lot of you are"" I ain't stepping out of shit, all my papers legit ""Well do you mind if I look around the car a little bit?"" Well my glove compartment is locked, so is the trunk and the back And I know my rights so you goin' need a warrant for that ""Aren't you sharp as a tack? You some type of lawyer or something? ""Somebody important or something?"" Child, I ain't passed the bar, but I know a little bit Enough that you won't illegally search my shit ""Well we'll see how smart you are when the K-9 come"" I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Now once upon a time not too long ago A nigga like myself had to strong arm a ho This is not a ho in the sense of having a pussy But a pussy having no goddamn sense try and push me I tried to ignore 'em, talk to the Lord Pray for 'em, cause some fools just love to perform You know the type, loud as a motorbike But wouldn't bust a grape in a fruit fight The only thing that's goin' happen is I'ma get to clapping and He and his boys goin' be yapping to the captain And there I go trapped in the Kit Kat again Back through the system with the riff raff again Fiends on the floor scratching again Paparazzi's with they cameras, snapping them D.A. tried to give a nigga shaft again Half a mil for bail cause I'm African All because this fool was harassing them Trying to play the boy like he's saccharine But ain't nothing sweet 'bout how I hold my gun I got ninety nine problems being a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Ninety nine problems but a bitch ain't one If you having girl problems I feel bad for you son I got ninety nine problems but a bitch ain't one, hit me Having girl problems I feel bad for you son I got ninety nine problems and a bitch ain't one You're crazy for this one, Rick, it's your boy",,,,,,,,,
408,"Happiness, hit her like a train on a track Coming towards her, stuck still no turning back She hid around corners and she hid under beds She killed it with kisses and from it she fled With every bubble she sank with a drink And washed it away down the kitchen sink The dog days are over The dog days are done The horses are coming so you better run Run fast for your mother run fast for your father Run for your children for your sisters and brothers Leave all your love and your longing behind you Can't carry it with you if you want to survive The dog days are over The dog days are done Can't you hear the horses 'Cause here they come And I never wanted anything from you Except everything you had And what was left after that too, oh. Happiness hit her like a bullet in the back Struck from a great height By someone who should know better than that The dog days are over The dog days are done Can you hear the horses 'Cause here they come Run fast for your mother and fast for your father Run for your children for your sisters and brothers Leave all your love and your loving behind you Can't carry it with you if you want to survive The dog days are over The dog days are done Can you hear the horses 'Cause here they come The dog days are over The dog days are done Can you hear the horses 'Cause here they come The dog days are over The dog days are done The horses are coming So you better run",,,,,,,,,
409,,,,,,,,,,
410,,,,,,,,,,
411,,,,,,,,,,
412,,,,,,,,,,
413,,,,,,,,,,
414,"You're on the phone with your girlfriend She's upset She's going off about something that you said 'Cause she doesn't get your humor like I do I'm in my room It's a typical Tuesday night I'm listening to the kind of music she doesn't like And she'll never know your story like I do' But she wears short skirts I wear T-shirts She's cheer captain And I'm on the bleachers Dreaming about the day when you wake up And find that what you're looking for has been here the whole time If you can see I'm the one who understands you Been here all along so why can't you see You belong with me You belong with me Walkin' the streets with you and your worn-out jeans I can't help thinking this is how it ought to be Laughing on a park bench, thinking to myself Hey isn't this easy And you've got a smile that could light up this whole town I haven't seen it in a while since she brought you down You say your fine I know you better then that Hey what you doing with a girl like that She wears high heels I wear sneakers She's cheer captain and I'm on the bleachers Dreaming about the day when you wake up And find that what what you're looking for has been here the whole time If you can see that I'm the one who understands you Been here all along so why can't you see You belong with me Standing by and waiting at your back door All this time how could you not know Baby, you belong with me You belong with me Oh, I remember you drivin' to my house in the middle of the night I'm the one who makes you laugh When you know you're about to cry And I know your favorite songs And you tell me about your dreams I think I know where you belong I think I know it's with me Can't you see that I'm the one who understands you Been here all along so why can't you see You belong with me Standing by and waiting at your back door All this time How could you not know Baby you belong with me You belong with me You belong with me Have you ever thought just maybe You belong with me You belong with me",,,,,,,,,
415,,,,,,,,,,
416,,,,,,,,,,
417,"Been there, done that, messed around I'm having fun, don't put me down I'll never let you sweep me off my feet I won't let you in again The messages I've tried to send My information's just not going in Burning bridges shore to shore I'll break away from something more I'm not turned on to love until it's cheap Been there, done that, messed around I'm having fun, don't put me down I'll never let you sweep me off my feet This time, baby, I'll be Bulletproof This time, baby, I'll be Bulletproof I won't let you turn around And tell me now I'm much too proud To walk away from something when it's dead Do, do, do your dirty words Come out to play when you are heard There's certain things that should be left unsaid Tick, tick, tick, tick on the watch And life's too short for me to stop Oh, baby, your time is running out I won't let you turn around  And tell me now I'm much too proud All you do is fill me up with doubt This time, baby, I'll be Bulletproof This time, baby, I'll be Bulletproof This time, baby, I'll be Bulletproof This time, baby, I'll be Bulletproof This time baby I'll be Bulletproof This time baby I'll be Bulletproof This time, baby, I'll be Bulletproof This time, baby, I'll be Bulletproof This time, baby, I'll be Bulletproof This time, baby, I'll be Bulletproof",,,,,,,,,
418,,,,,,,,,,
419,,,,,,,,,,
420,,,,,,,,,,
421,,,,,,,,,,
422,"In the night, I hear 'em talk The coldest story ever told Somewhere far along this road, he lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless? How could you be so, cold as the winter wind when it breeze, yo Just remember that you talkin' to me though You know need to watch the way you talkin' to me, yo I mean after all the things that we've been through I mean after all the things we got into Hey yo, I know of some things that you ain't told me Hey yo, I did some things but that's the old me And now you wanna get me back and you goin' show me So you walk around like you don't know me You got a new friend, well I got homies But in the end it's still so lonely In the night, I hear 'em talk The coldest story ever told Somewhere far along this road, he lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless? How could be so Dr. Evil, you bringin' out a side of me that I don't know I decided we weren't goin' speak so Why we up three A.M. on the phone Why does she be so mad at me for Homie I don't know, she's hot and cold I won't stop, I won't mess my groove up Cause I already know how this thing go You run and tell your friends that you're leaving me They say that they don't see what you see in me You wait a couple months then you gon' see You'll never find nobody better than me In the night, I hear 'em talk The coldest story ever told Somewhere far along this road, he lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless? Talkin', talkin', talkin', talk Baby let's just knock it off They don't know what we been through They don't know 'bout me and you So I got something new to see And you just goin' keep hatin' me And we just goin' be enemies I know you can't believe I could just leave it wrong And you can't make it right I'm goin' take off tonight Into the night In the night, I hear 'em talk The coldest story ever told Somewhere far along this road, he lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless?",,,,,,,,,
423,"God knows you're lonely souls God knows you're lonely souls God knows you're lonely souls Yeah, yeah I believe there's a time and a place To let your mind drift and get out of this place I believe there's a day and a place That we will go to, and I know you want to share. There's no secret to living (There's no secret to living) Just keep on walking There's no secret to dying (There's no secret to dying) Just keep on flying. I'm gonna die in a place that don't know my name I'm gonna die in a space that don't hold my fame. God knows you're lonely souls God knows you're lonely souls. I believe there's a time when the cord of life Should be cut, my friends (Cut the cord, my friend) I believe there's a time when the cord can be cut And this vision ends (Let this vision end). But I'm gonna die in a place that don't know my name And I'm gonna cry in a space that don't hold my fame. Walking in the cold Just keep on flying There'll be a searchlight On the mountain high God knows you're lonely souls God knows you're lonely souls God knows you're lonely souls God knows you're lonely souls Yeah yeah yeah yeah yeah I'm a lonely soul. I'm gonna die in a place that don't know my name I'm gonna die in a place that don't know my name. God knows you are lonely souls Lonely souls Lonely souls Lonely souls I'm a lonely soul. So long, little chapel Pack up your light Pack up your light Say goodbye to the holy water life Ohhh... Ahhh...",,,,,,,,,
424,,,,,,,,,,
425,,,,,,,,,,
426,,,,,,,,,,
427,"Inner meet me, oh you can't decide (repeated) Last night I dreamt that somebody fell asleep between my knees I couldn't help it all my thoughts were rejected by a boy who called me Last night I dreamt that somebody fell asleep between my knees I couldn't help it all my thoughts were rejected by a boy who called me Last night I dreamt that somebody fell asleep between my knees I couldn't help it all my thoughts were rejected by a boy who called me She said to me Keep yer head up Never show up Keep it all in never dream alone Away on a star Who is too far Say what you feel He couldn't heal Never dream alone Never dream alone____________ If you can feel that the light is on the ceiling Then you can't see past your nose ?????????? ?????????? I never listen but ?????? ?????????? ?????????? ?????????? She said to me Keep yer head up Never show up Keep it all in never dream alone Away on a star Who is too far Say what you feel ???????????? Never dream alone Never dream alone____________ Inner meet me, oh you can't decide (repeated) Last night I dreamt that somebody fell asleep between my knees I couldn't help it all my thoughts were rejected by a boy who called me Last night I dreamt that somebody fell asleep between my knees I couldn't help it all my thoughts were rejected by a boy who called me She said to me Keep yer head up Never show up Keep it all in never dream alone Away on a star Who is too far Say what you feel ???????????? Never dream alone Never dream alone____________ She said to me Keep yer head up Never show up Keep it all in never dream alone Away on a star Who is too far Say what you feel ???????????? Never dream alone Never dream alone____________",,,,,,,,,
428,,,,,,,,,,
429,,,,,,,,,,
430,"Taking the second plan, Begging to understand, Life of a selfless man. 'Cos out of all the flaws I've stumbled on, It's the hardest one to focus on. It's the hardest one to focus on. Why're you calling on? Isn't one enough? Giving up all she's got. 'Cos out of all the flaws I've stumbled on, It's the hardest one to focus on. It's the hardest one to focus on.",,,,,,,,,
431,"Tell yourself its over now Try to kill a broken vow If only you could find the strength to kill the memories These empty pages never turn You lit the flame and let them burn You tried to bury me so deep but what lies beneath Will your hope die alone Will you fade on your own Can you just turn away and let me go Lie to me You can feel That this love was never real Walk away You can learn to love again Lie to me You can leave I'll still be here when you see Your not alone You don't have to run again Leave me in denial All your secrets crawl inside You keep them safe, you let them hide You feel them drinking in your pain to kill the memories So close your eyes and let it hurt The voice inside begins to stir Are you reminded of all you used to be Can you just turn away and let me go Lie to me You can feel That this love was never real Walk away You can learn to love again Lie to me Watch me bleed 'Cause I'll still be here when you see Your not alone You don't have to run again Leave me in denial All the pain you fed Starts to grow inside It lives again and you can't let it die So believe you'll never find A reason to love again Lie to me And watch me bleed I'll be here when you see Your not alone You don't need to run Lie to me Watch me bleed 'Cause I'll still be here when you see Your not alone You don't have to run again Leave me in denial You can learn to love again Leave me in denial You can learn to love again Leave me in denial Yeah, yeah, yeah, yeah",,,,,,,,,
432,"It's 5 o'clock in the morning Conversation got boring You said you're goin' to bed soon So I snuck off to your bedroom And I thought I'd just wait there (uh) Until I heard you come up the stairs (uh) And I pretended I was sleeping (uh) and I was hoping It's 5 o'clock in the morning, and I want ya And you want me, don't ya? I can see it Cause you've been waiting on me since I said that I was hittin' the club Something coming up on me And I know you be getting so horny 'Cause you be sending me texts saying Like boy just get your ass up in that car and come get all of this love You ain't got to remind me She already said if I don't come home on time she might go crazy And she'll be waiting on me naked with one of my chains on She might come and find me (oh) And then ask me kindly (oh) Do I want her to go crazy? We do this every night and then we always wake up singing the same song It's 5 o'clock in the morning (yeah) Conversation got boring (talk to me girl) You said you're goin' to bed soon (let's go) So I snuck off to your bedroom (c'mon) And I thought I'd just wait there (wait on me) Until I heard you come up the stairs (I wont let you stay lonely) And I pretended I was sleeping (alright) And I was hoping you would creep in It's 5 o'clock in the morning Conversation got boring You said you're goin' to bed soon So I snuck up to your bedroom And I thought I'd just wait there Until I heard you come up the stairs And I pretended I was sleeping (oh) And I was hoping you would creep in It's 5 o'clock in the morning And you calling And these females got me stalling I can hear your voice in my head like ""What is he doing?"" oh what is he doing? Cause I keep checking my cell phone and these missed calls You texting me like I'm a kill y'all If you don't get your ass up out of that club and you do know what time it is Oh my bad, girl And this Nuvo got me trippin' and I know that you mad girl But you ain't got to worry about nothing Girl I got you, girl I got you She might come and find me (no no no) and then ask me kindly (no no no) Do I want her to go crazy We do this every night and then we always wake up singing the same song It's 5 o'clock in the morning (yeah) Conversation got boring (talk to me girl) You said you're goin' to bed soon (let's go) So I snuck off to your bedroom (c'mon) And I thought I'd just wait there (wait on me) Until I heard you come up the stairs (I won't let you stay lonely) And I pretended I was sleeping (alright) And I was hoping you would creep in (baby girl goodnight) It's 5 o'clock in the morning Conversation got boring Said you're goin' to bed soon So I snuck up to your bedroom And I thought I'd just wait there Until I heard you come up the stairs And I pretended I was sleeping And I was hoping you would creep in It's 5 o'clock in the morning You ain't got nothing on But the t-shirt that I left over your house the last time I came and put it on ya Too many thirsty girls up in this club for me to leave here with one of them that's why I call her And you'll be right at home waiting for me Iphone plugged in the wall, just waiting for me Club closed at six, left around four thirty yeah so by the time I'm at your crib (It's 5 o'clock in the morning) And you yawning, but I've been drinking all night and I feel like performin' With you in the bedroom floor to the dresser Don't want nothing less 'cause I'm sure you're the best you're the one so I let you That's how you show me love And when we finish you like ""damn, babe you woke me up"" I love you way you put it down likes it's for both of us The sun ain't the only thing that's coming up It's 5 o'clock in the morning Conversation got boring You said you're goin' to bed soon So I snuck off to your bedroom And I thought I'd just wait there Until I heard you come up the stairs And I pretended I was sleeping And I was hoping you would creep in It's 5 o'clock in the morning",,,,,,,,,
433,,,,,,,,,,
434,,,,,,,,,,
435,"Alcohol on my hands  I got plans  To ditch myself and get outside  Dancing women  Throwing plates  Decapitating their laughing dates  Swirling chickens caught in flight  Out of focus  Much too bright  Coming down  Shiny teeth  Game show suckers trying to bleed  But I got a drug and I got the bug  And I got something better than love  How you like me now  Pretty good  Going on, feeling strong  I quit my job blowing leaves  Telephone bills up my sleeves  Choking like a one man dust bowl  Freedom rock slime ball  Talking in code  We went down  Lit up the shack  Grab me a beer out of the sack  Everybody bent over twice  Painting the walls throwing some dice  Leaping up into the air getting juiced up beyond belief  And they were singing like this  Winos throwing Frisbees at the sun  Put my soul between a bun  Now I'm hungry now I'm drunk  Now I'm running like a flaming pig  Oh yeah  Scraping off the attitude  Old man eating all my food  Don't be kind  Don't be rude  Just shake your boots and let it all get loose  Oh yeah  My goodness  Fluffy clouds  Jumping rainbows  Fluffy clouds  I'm sad  Jumping rainbows  A soft and snuggly place  [repeat]  Fluffy clouds  I'm sad and unhappy  Oh yeah, I like it like that  Oh that is cold  Somebody put a flame-thrower on that  Oh my goodness  Take me down to the depot  Buddy put me down on the bus  Oh yeah  I like it like that  Somebody bring me a plate of sassafras  Hey hey hey  Uh-huh  What's happenin'",,,,,,,,,
436,"Ooh, you're searching for something I know, won't make you happy Ooh, you're thirsting for something I know, won't make you happy Ooh, you did it all again, you broke another skin It's hard to believe this time, hard to believe That my heart, my heart's an open door You got all you came for, baby So weary, someone to love is bigger than your pride's worth Is bigger than the pain you got for it hurts And out runs all of the sadness It's terrifying, life, through the darkness And I'd do it all again, I'd do it all again I'd do it all again, I'd do it all again You try sometimes but it won't stop You got my heart and my head's lost, ooh yeah I've been burning down these candles for love, for love So weary, someone to love is bigger than your pride Ooh, someone to love, mm, someone to love Someone to love Ooh, you're searching for something I know, Won't make you happy Ooh",,,,,,,,,
437,,,,,,,,,,
438,,,,,,,,,,
