,0,1,2,3
0,991,matilda, Unknown Personality," <div class=""bbcode_container""> <div class=""bbcode_quote""> <div class=""quote_container""> <div class=""bbcode_quote_container""></div> <div class=""bbcode_postedby""> <img alt=""Quote"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/misc/quote_icon.png"" title=""Quote""/> Originally Posted by <strong>Surreal Breakfast</strong> <a href=""http://personalitycafe.com/book-music-movie-reviews/208-what-song-you-listening-now-post82361.html#post82361"" rel=""nofollow""><img alt=""View Post"" class=""inlineimg"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/buttons/viewpost-right.png"" title=""View Post""/></a> </div> <div class=""message""><a href=""http://www.youtube.com/watch?v=pB1pV8zRVaw&amp;feature=related"" rel=""nofollow"" target=""_blank"">YouTube - Bert Sommer - ""Jennifer"", Woodstock 1969 (DVD)</a></div> </div> </div> </div> Fi at its finest, me thinks. <img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/wink.gif"" title=""Wink""/><br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen61"" src=""//www.youtube.com/embed/uQYDvQ1HH-E?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
1,992,surreal-breakfast, INFP - The Idealists," <div class=""bbcode_container""> <div class=""bbcode_quote""> <div class=""quote_container""> <div class=""bbcode_quote_container""></div> <div class=""bbcode_postedby""> <img alt=""Quote"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/misc/quote_icon.png"" title=""Quote""/> Originally Posted by <strong>matilda</strong> <a href=""http://personalitycafe.com/book-music-movie-reviews/208-what-song-you-listening-now-post82953.html#post82953"" rel=""nofollow""><img alt=""View Post"" class=""inlineimg"" src=""http://personalitycafe.com/images/styles/PersonalityCafe/buttons/viewpost-right.png"" title=""View Post""/></a> </div> <div class=""message"">Fi at its finest, me thinks. <img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/wink.gif"" title=""Wink""/><br/> <br/> <a href=""http://www.youtube.com/watch?v=uQYDvQ1HH-E"" rel=""nofollow"" target=""_blank"">YouTube - Joe Cocker - A Little Help From My Friends - Woodstock 1969</a></div> </div> </div> </div> <font color=""DarkGreen"">I have the directors cut of woodstock on dvd, I love those songs</font>"
2,993,trope, INTP - The Thinkers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen62"" src=""//www.youtube.com/embed/3Za-V_lhwGg?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
3,994,mcgooglian, ISTP - The Mechanics," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen63"" src=""//www.youtube.com/embed/HZ6cw_MuTDE?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
4,995,s1ng4m3, INTJ - The Scientists,"Give Me Your Eyes, by Brandon Heath"
5,996,nephilimazrael, INTJ - The Scientists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen64"" src=""//www.youtube.com/embed/F1jmhbw3JHw?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
6,997,de-l-eau-salee, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen65"" src=""//www.youtube.com/embed/SqYpnnnGIH4?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
7,998,de-l-eau-salee, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen66"" src=""//www.youtube.com/embed/HJEySrDerj0?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> <br/> <br/>
It was just playing on the radio on my way home, and now it's stuck in my head :P"
8,999,surreal-breakfast, INFP - The Idealists," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen67"" src=""//www.youtube.com/embed/gpBOibusx2M?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
9,1000,robatix, ENFP - The Inspirers,"<a href=""http://www.imeem.com/artists/rufus_wainwright/music/ipbaMaS6/rufus-wainwright-across-the-universe/"" rel=""nofollow"" target=""_blank"">Rufus Wainwright - Across the Universe - Free MP3 Stream on IMEEM Music</a>"
10,1001,trope, INTP - The Thinkers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen0"" src=""//www.youtube.com/embed/XcOeIWu-Plc?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> <br/> <br/>
Sweet nostalgia."
11,1002,imru2, INFP - The Idealists,"<span style=""font-family: Franklin Gothic Medium""><font color=""Purple"">Bohemian Like You -  The Dandy Warhols<br/> </font></span><br/> <span style=""font-family: Franklin Gothic Medium""><font color=""Purple""> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen1"" src=""//www.youtube.com/embed/vK5MC8pa_cY?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe>  Careful, the video isn't worksafe. </font></span>"
12,1003,vanwinchester, Unknown Personality,"*lol*<br/> <br/> <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen2"" src=""//www.youtube.com/embed/cA8JvCWvv5g?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
13,1004,slowriot, INTP - The Thinkers," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen3"" src=""//www.youtube.com/embed/7Z3niFJugp8?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> "
14,1005,crimsonwing, INFJ - The Protectors," <iframe class=""restrain"" frameborder=""0"" height=""390"" id=""yui-gen4"" src=""//www.youtube.com/embed/EEeCOK1yK_E?wmode=opaque"" title=""YouTube video player"" width=""640""></iframe> <br/> <br/>
^_^"
15,1006,peacepassion, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=RLq7Aqd_H7g"" rel=""nofollow"" target=""_blank"">YouTube - Leonard Cohen: The Stranger Song</a>"
16,1007,surreal-breakfast, INFP - The Idealists,"<font color=""DarkGreen"">I noticed that she has a song with the word intuition in it, so I checked it out</font><br/> <br/> <a href=""http://www.youtube.com/watch?v=DckUcyCuzjk"" rel=""nofollow"" target=""_blank"">YouTube - Björk - Sweet Intuition</a>"
17,1008,de-l-eau-salee, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=N3aaxVGFIf8&amp;feature=channel"" rel=""nofollow"" target=""_blank"">YouTube - G. Love - Beautiful</a>"
18,1009,slowriot, INTP - The Thinkers,"<a href=""http://www.youtube.com/watch?v=WfTmydmHX98"" rel=""nofollow"" target=""_blank"">YouTube - Arvo Part - Passio</a>"
19,1010,peacepassion, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=12qtTuvWQSI"" rel=""nofollow"" target=""_blank"">YouTube - Matisyahu ""Youth""</a>"
20,1011,surreal-breakfast, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=PS9kKRi9Dtw"" rel=""nofollow"" target=""_blank"">YouTube - Interlope - reisefluggeschwindigkeit - Intelligent / Drum and Bass</a>"
21,1012,summoningdark, INTP - The Thinkers,"<a href=""http://www.youtube.com/watch?v=ErLZaItKFaY"" rel=""nofollow"" target=""_blank"">YouTube - Rancid - Last One To Die - Official Music Video With Lyrics ?????</a><br/> <a href=""http://www.youtube.com/watch?v=T1NlmWLURJo"" rel=""nofollow"" target=""_blank"">YouTube - F*ck Authority - Pennywise</a>"
22,1013,vasoline, INTJ - The Scientists,"<a href=""http://www.youtube.com/watch?v=BnwLf88t_Wc"" rel=""nofollow"" target=""_blank"">YouTube - The Killers - Mr. Brightside</a>"
23,1014,sily, INFP,"<a href=""http://www.silywily.com/stewiejump.mp3"" rel=""nofollow"" target=""_blank"">Stewie Griffin/Jump (bluegrass version) - David Lee Roth</a><br/> <br/> <img alt="""" border=""0"" class=""inlineimg"" src=""http://personalitycafe.com/images/smilies/1/crazy.gif"" title=""Crazy""/>"
24,1015,imru2, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=MsduHmjQlgI"" rel=""nofollow"" target=""_blank"">YouTube - Metronomy - Heartbreaker</a><br/> <br/> <span style=""font-family: Franklin Gothic Medium""><font color=""Purple"">Heartbreaker by Metronomy <br/> <br/>
I love their stuff.  </font></span>"
25,1016,trope, INTP - The Thinkers,"<a href=""http://www.youtube.com/watch?v=AxhDpMAoVig"" rel=""nofollow"" target=""_blank"">YouTube - Black Hole Sun - The Section Quartet</a>"
26,1017,so-long-so-long, ENTP,"-sigh- oh memories from last summer... it's kind of ironic that it was 'our' song. <br/> <br/> <i>We're not falling in love, <br/>
We're just falling apart...</i><br/> <br/> <a href=""http://www.youtube.com/watch?v=eZa6BKVMsXQ"" rel=""nofollow"" target=""_blank"">YouTube - Fer Sure - Medic Droid</a>"
27,1018,rushing-wind, ENTP - The Visionaries,"A little Final Fantasy before I hit the hay<br/> <br/> <a href=""http://www.imeem.com/people/n7gXJ5/music/qbnPgGJH/unknown-scene-7-ff2-rebel-armys-theme/"" rel=""nofollow"" target=""_blank"">unknown - Scene 7 - FF2 Rebel Army's Theme - Free MP3 Stream on IMEEM Music</a>"
28,1019,decided, Unknown Personality,I'm currently listening to Fink - Trouble's What You're In.
29,1020,de-l-eau-salee, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=Rwc8dRM-zd0"" rel=""nofollow"" target=""_blank"">YouTube - Arctic Monkeys - Balaclava</a>"
30,1021,surreal-breakfast, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=mUzawh055WM"" rel=""nofollow"" target=""_blank"">YouTube - Cream - Wrapping Paper</a>"
31,1022,marino, INTP - The Thinkers,"<a href=""http://www.youtube.com/watch?v=E-gZ9s8CjIg"" rel=""nofollow"" target=""_blank"">YouTube - Thirteen ~ Ben Kweller</a> ♥♥"
32,1023,starri, ENFP - The Inspirers,"<a href=""http://www.youtube.com/watch?v=jnL8yeKZ4Mc"" rel=""nofollow"" target=""_blank"">YouTube - Katie Melua - Crawlin up a hill</a>"
33,1024,so-long-so-long, ENTP,"<a href=""http://www.youtube.com/watch?v=UID0yk5vR3Y"" rel=""nofollow"" target=""_blank"">YouTube - Belt Loops (Dirt Lab Remix) - The Films</a>"
34,1025,peacepassion, INFP - The Idealists,"<a href=""http://www.youtube.com/watch?v=rzU2iJ9qfXg"" rel=""nofollow"" target=""_blank"">YouTube - Lynyrd Skynyrd- Gimme Back My Bullets</a>"
35,1026,-erulean, INFJ,"<a href=""http://www.youtube.com/watch?v=gs-D-AR7W58"" rel=""nofollow"" target=""_blank"">YouTube - Dragon Ball Z - Linkin Park - Figure.09</a>"
36,1027,vasoline, INTJ - The Scientists,"<a href=""http://www.youtube.com/watch?v=5_1RqyNdzbE"" rel=""nofollow"" target=""_blank"">YouTube - The Who - Behind Blue Eyes</a>"
37,1028,vanwinchester, Unknown Personality,"<a href=""http://www.youtube.com/watch?v=FFpyR_OAj_I"" rel=""nofollow"" target=""_blank"">YouTube - Foreigner - Hot Blooded</a>"
38,1029,mcgooglian, ISTP - The Mechanics,"<a href=""http://www.youtube.com/watch?v=SITmyK6Zfow"" rel=""nofollow"" target=""_blank"">YouTube - K'Naan Bang Bang</a>"
