,0,1,2
10,"I don't want to rush this thing I don't want to jump the gun I really want to say those three little words But I'm gona bite my tongue Yeah, I'm just gonna lay on back Leave it on cruise control I'm gona hold it all inside till the right time comes down the road I gota feelin' My heads a reelin' My hearts a screamin' I'm about to bust loose Bottled up emotion Its more than a notion It starts with an I and ends with a you I gotta feelin Are you feelin it to? I guess I've always said it now So much for hopin you'd go first Don't leave me hangin out here on the line baby its your turn Say you couldn't sleep last night Swore that you could feel me breathe That you want me there by your side Yeah baby I know what you mean I gotta feelin My heads a reelin' My hearts a screamin' I'm a bout to bust loose Bottled up emotion Its more than a notion It starts with an I and ends with an you I gotta feelin' You're feelin it too Bottled up emotion Its more than a notion It starts with an I and ends with an you I gotta feelin' You're feelin' it too You're feelin' it too Yeah, you're feelin' it too You're feelin' it too Oh yeah",,
11,"Talib Kweli] Brooklyn stand up, L.A. stand up Matter fact, the whole planet rock with us now! {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! {*""Run up in your venue like what what what!""* [Iris] Check it out y'all! [Evid] Check it out [Iris] You're now rockin' with the world's best {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! [Iris] And we do it for you [Evid] We do it for you [Talib] We do it for you {*""Live on stage!""* Aiyyo, basic mathematics - add shit, subtract shit Multiply, divide, break down shit to fractions Equality - Not greater than or less than Los Angeles, Brooklyn, connect to Manhattan Expansion Team - Movin' through lights, cameras and action Thoughts to ideas, designs to manufacturin' ??? to we blaze and make it happen On stage I quote the bible then blast like Sam Jackson {*""I jump on stage and change forms* Rock it, don't bug out, kid, my team scores A lot of emcees out there with phony lives They master the studio but never master the ceremon' Check it live {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! {*""Run up in your venue like what what what!""* [Iris] Check it out y'all! [Evid] Check it out [Iris] You're now rockin' with the world's best {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! [Iris] And we do it for you [Evid] We do it for you [Talib] We do it for you {*""Live on stage!""* You know we - break barriers, redefine the coast Classic hits like Ice Cube's ""AmeriKKKa's Most"" Dilated - extra extra, read the front page Catch us live on stage - like Roxanne Shante Straight out the cage - learn ya lesson Yo, studio sessions are not shows Learn ya lesson - in shows and studios This here breath controls all I got to lose But the architects respect it - live in House of Blues Flow for my peeps - that's true You know we take it live on stage And new levels for you Thirty bucks a ticket? No, that's breads and breaks So I'ma stay sharp and separate the real from fakes You know.. {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! {*""Run up in your venue like what what what!""* [Iris] Check it out y'all! [Evid] Check it out [Iris] You're now rockin' with the world's best {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! [Iris] And we do it for you [Evid] We do it for you [Talib] We do it for you {*""Live on stage!""* {*""Now through cuts to Alchemist's instrumental*"" {*""Dilated live"" {*""be	-believe it when you bleed it* {*""Run up in your venue like what what what!""* {*""Li-li-li-live on stage""* {*""Talib Kweli*"" I got the crowd in the palm of my hands It go like the dominant strands Squeeze as hard as I can Stormin' like that beach in Normandy So just droppin' the sand The way I'm rockin' the fans Like when you take a homeless man and you promise him land Understand I rock for Dilated The longer you wait, longer you get violated If words was notes, I say it the way Miles play it I know my styles hated - you can't get nowhere near it Instead of investin' in hate, you should invest in merit Look at yourself, you monstrosity of hypocrisy Tryin' to be the king of media, you the king of mediocrity Chop your flow, disposable, like heroes of the prophecy I got the evidence that me and Rock know how to flow properly C'mon man! {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! {*""Run up in your venue like what what what!""* [Iris] Check it out y'all! [Evid] Check it out [Iris] You're now rockin' with the world's best {*""Dazzlin - Dilated displayin' a new sound""* [All] We all live on stage! [Iris] And we do it for you [Evid] We do it for you [Talib] We do it for you {*""Live on stage!""* {*""D-d-d-da-d-da-daz-dazzlin'""* {*""D-d-di-di-d-di-dilated displayin' a new sound""* {*""D-d-da-dazzlin'""* {*""Di-d-d-di-di-dilated-dilated-dilated-di-displayin' a new sound""* {*""D-da-dazzlin'""* {*""D-d-dilated* {*""D-di-d-dilated""*",,
12,,,
13,"I feel it welling up inside and Robert Smith lied Boys do cry and with blood tears in my eyes I'm an Anne Rice novel come to life I can't hide the monster anymore One can only feel desolate for so long Until one starts to change Into something the mirror doesn't recognize I metamorphasize The darkness has been biding its time To claim its latest victim Fresh meat for carnal desires To become what I became I viewed the sun for the last time Will you still hold me when you see what I have done? Will you still kiss me the same when you taste my victim's blood? So crimson and red, I feel it flowing from your lips My heart is dead and so are you And it pulses through, the desire to change The desire to deconstruct all of my past failings But where to begin because when you live in sin It's hard to look at saints without them Reflecting their jet black auras back on you And all I have is hope, my inner burn's not fading I'll wipe the blood from my cheek and get on with my day And all I have is hope, and all I need is time To bury in pine under six feet of time The lies I told me about myself Claw my way out, pick the splinters from under my fingernails I won't lose hope, I won't give in Just live and breathe and try not to die again",,
14,"Freak out And give in Doesn't matter what you believe in Stay cool And be somebody's fool this year 'Cause they know Who is righteous, what is bold So I'm told Who wants honey As long as there's some money Who wants that honey? Hipsters unite Come align for the big fight to rock for you But beware All those angels with their wings glued on 'Cause deep down We are frightened and we're scared If you don't stare Who wants honey As long as there's some money Who wants that honey? Let me out Let me out Let me out Let me out Tell me all of your secrets Cannot help but believe this is true Tell me all of your secrets I know, I know, I know Should have listened when I was told Who wants honey As long as there is some money Who wants that honey? Let me out Let me out Let me out Let me out",,
15,"We've taken care of everything The words you hear, the songs you sing The pictures that give pleasure to your eyes It's one for all, all for one We work together, common sons Never need to wonder how or why We are the priests Of the Temples of Syrinx Our great computers Fill the hollowed halls We are the priests Of the Temples of Syrinx All the gifts of life Are held within our walls Look around this world we made Equality our stock in trade Come and join the brotherhood of man Oh what a wide contented world Let the banners be unfurled Hold the red star proudly high in hand We are the priests Of the Temples of Syrinx Our great computers Fill the hollowed halls We are the priests Of the Temples of Syrinx All the gifts of life Are held within our walls",,
16,"I like to dance all night It summons the day That's how I play Yeah that's how I play I said who are you No matter who you are So we dance all night And dance all day I say I say We're gonna fuel the fire We're gonna stoke it up We're gonna sip this wine And pass the cup Who needs avenues Who needs reservoirs We're gonna show this town How to kiss these stars I say I say I'm on a hunt to kill I'm gonna skin the hide A yelp and scream And away I ride I'll never top this view I'll never fall aground It's all for you For what you found I say I say I say I say It's gonna take your hand It's gonna drive you home It's gonna keep on, keep on, keep on And then forever roam.",,
17,,,
18,"Who knows what tomorrow brings In a world few hearts survive All I know is the way I feel When it's real, I keep it alive The road is long There are mountains in our way But we climb a step every day Love lift us up where we belong Where the eagles cry On a mountain high Love lift us up where we belong Far from the world below Up where the clear winds blow Some hang on to used to be Live their lives looking behind All we have is here and now All our lives, out there to find The road is long There are mountains in our way But we climb a step every day Love lift us up where we belong Where the eagles cry On a mountain high Love lift us up where we belong Far from the world we know Where the clear winds blow Time goes by No time to cry Life's you and I Alive today Love lift us up where we belong Where the eagles cry On a mountain high Love lift us up where we belong Far from the world we know Where the clear winds blow Love lift us up where we belong Where the eagles cry On a mountain high Love lift us up where we belong",,
19,"I'm walking through your streets Where all your money's earning Where all your buildings crying And clueless neckties working Revolving fake lawn houses Housing all your fears Desensitized by T.V. Overbearing advertising God of consumers And all your crooked pictures looking good Mirrors filtering information through the public eye Designed for profit sharing Your neighbor, what a guy Boom, Boom, Boom, Boom, Every time you drop a bomb You kill the god your child has born Boom, Boom, Boom, Modern globalization Coupled with condemnations Unnecessary death Matador corporations Puppeting your frustrations with a blinded flag Manufacturing consent is the name of the game The bottom line is money nobody gives a fuck 4000 hungry children Leave us per hour from starvation While billions are spent on bombs Creating death showers Boom, Boom, Boom, Every time you drop a bomb You kill the god your child has born Boom, Boom, Boom, Every time you drop a bomb You kill the god your child has born Boom, Boom, Boom, Every time you drop a bomb You kill the god your child has born Why must we kill our own kind? Boom, Boom, Boom, Every time you drop a bomb You kill the god your child has born Boom, Boom, Boom, Every time you drop a bomb You kill the god your child has born Boom, boom, boom, boom, boom Every time you drop the bomb",,
20,,,
21,"""Kill the tongue""  ""The Silence of the White""  ""It bloats as words""  ""Eagerness crawls near""  The crumbling temptation has a smiling face  The blurred night bursts  ""Cover scars with scars""  ""Darkness, Doubt and Human Nature""  ""Crave each other like crazy""  Shooting of the people that can adapt  She picks the petals of the butterfly smilingly  Superiority  Scatter peacefully  Be broken so mount  Shut your eyes and yourself from reality  The loser human drifts forever  It won't be heard  Shooting of the people that can adapt  The demand the gathering for the camouflage,  The destruction of order in the lines  Reality, entertainment, and the nothingness opens up the wound  You trace the answer with your finger  Dancing slowly forever sick",,
22,,,
23,,,
24,"Rise There's nothing  Nothing  Soul rider [Repeat: x4] Something, something, something far away  Something, something, something far away  (Exhibition, Exhibitionist, Executionist) Nothing overtakes me",,
25,"Oh Devon Won't go to Heaven She's just another lost soul, about to be mine again Leave her We will receive her It is beyond your control Will you ever meet again. Devon One of eleven Who had been rendered unwhole. As a little child, She was taken And then forsaken You will remember it all Let it blow your mind again. Devon lies beyond this portal Take the word of one immortal Give your soul to me For eternity Release your life To begin another time with her End your grief with me There's another way Release your life Take your place inside the fire with her Sever Now and forever You're just another lost soul about to be mine again See her, you'll never free her You must surrender it all In your life to meet again Fire All you desire As she begins to turn cold and run out of time You will shiver Till you deliver You will remember it all Let it blow your mind again Devon lies beyond this portal Take the word of one immortal Give your soul to me For eternity Release your life To begin another time with her End your grief with me There's another way Release your life Take your place inside the fire with her. Give your soul to me For eternity Release your life To begin another time with her End your grief with me There's another way Release your life Take your place inside the fire with her Devon Among the livin' Who had been rendered unwhole As a little child She was taken, And then forsaken You will remember it all Let it blow your mind again.",,
26,,,
27,,,
28,"For a long time I was in love Not only in love, I was obsessed With a friendship that no one else could touch It didn't work out, I'm covered in shells And all I wanted was the simple things A simple kind of life And all I needed was a simple man So I could be a wife I'm so ashamed, I've been so mean I don't know how it got to this point I always was the one with all the love You came along, I'm hunting you down Like a sick domestic abuser looking for a fight And all I wanted was the simple things A simple kind of life If we met tomorrow for the very first time Would it start all over again? Would I try to make you mine? I always thought I'd be a mom Sometimes I wish for a mistake The longer that I wait, the more selfish that I get You seem like you'd be a good dad Now all those simple things are simply too complicated for my life How'd I get so faithful to my freedom? A selfish kind of life When all I ever wanted was the simple things A simple kind of life",,
29,,,
30,,,
31,"I don't need to need you Tell me what to do Tell me what to say Don't you want to help me Tell me what to do Help me find a way If I was not me I would hate me too Just like you do I don't need to need you Tell me what to do Tell me what to say It's all made worse by a simple scheme You're slipping away from me Can't decide sometimes if it's worth the point The point is the struggle, insecurity Hopefully, you make no mistake If you learn from what you've got to take Good or bad, it's all gonna add up in the end but, You can never win. I don't need to need you Tell me what to do Tell me what to say Don't you want to help me Tell me what to do Help me find a way If I was not me I would hate me too Just like you do I don't need to need you Tell me what to do Tell me what to say And it's the desperation to hold on to Something that can't be held on to So, Don't waste your time filling up my words Don't tell me why, assume the worst. Hopefully, you make no mistake If you learn from what you've got to take Good or bad, it's all gonna add up in the end but, You can never win. Don't thank me, Don't tell me how, Don't break me down, Don't help me make it, I don't need to need you Tell me what to do Tell me what to say Don't you want to help me Tell me what to do Help me find a way",,
32,,,
33,,,
34,,,
35,There is nothing you can do that I have not already done to myself There is nothing you can do that I have not already done to myself There is nothing you can do that I have not already done to myself No there is nothing you can do that I have not already done to myself Never wanted to dance with nobody not you Never wanted to dance with nobody but you Never wanted to dance with nobody but you wouldn't take no for an answer you fucking bitch Be nice Be nice to me Don't let me bleed Be nice Be nice to me Don't let me go (don't let me go) I am to cool for the second grade I'm amazed I'm afraid I am to cool for the second grade There is nothing you can do That I have not already done to myself Hey! There is nothing you can do that I have not already done to myself There is nothing you can do that I have not already done to myself There is nothing you can do that I have not already done to myself No there is nothing you can do that I have not already done to myself Never wanted to dance with nobody not you Never wanted to dance with nobody but you Never wanted to dance with nobody but you wouldn't take no for an answer you fucking bitch Be nice Be nice to me Don't let me bleed Be nice Be nice to me Don't let me go (don't let me go) I am to cool for the second grade I'm amazed I'm afraid I am to cool for the second grade There is nothing You can do That I have not already done to myself Never wanted to dance with nobody but you wouldn't take no for an answer you fucking bitch Never wanted to dance with nobody not you Never wanted to dance with nobody but you Never wanted to dance with nobody but you wouldn't take no for an answer you fucking bitch,,
36,"A shadow of a man I am nothing less I am holding on Still holding on And every now and then Life begins again I am holding on Still holding on I'm not like you Your faceless lies Your weak, dead heart Your black dead eyes I'll make it through But not this time Your hope is gone And so is mine Live! Fight! Crawl back inside! Sick! Blind! Love left behind And I won't live your weak wicked lie You pull me in I'm one step behind Show me where it hurts And I will make it worse Are you holding on? Keep holding on Dilated eyes Shine for one last time Are you holding on? Keep holding on You're not like me Your faceless lies Your weak, dead heart Your black dead eyes I'll break you in And let this die Your hope is gone And so is mine Live! Fight! Crawl back inside! Sick! Blind! Love left behind And I won't live your weak wicked lie You pulled me in I'm one step behind I'm becoming a monster Just like you After it all You'll try to break me too Falling forever Chasing dreams I brought you to life So I can hear you scream Live! Fight! Crawl back inside! Sick! Blind! Love left behind And I won't live your weak wicked lie You pulled me in I'm one step behind I'm one step behind I'm one step behind",,
37,,,
38,,,
39,"Too far away from the city Some kids left on their own They said we had a communist in the family I had to wear a mask Too far away from the city We had to make this room Fathers were football players, Volvo workers, policemen What the mothers did I didn't know Music tonight I just want your music tonight I saw her by the organ She was laughing while pressing the keys She said my favourite book was dirty and You should not show you can read Too far away from the city We never heard its noise We learned how to stay fit and things like Green tones hide the blush Music tonight I just want your music tonight Music tonight I just want your music tonight Too far away from the city We came to breathe clean air Nature lovers' safe oasis And the mothers walked towards the forest Music tonight I just want your music tonight Music tonight I just want your music tonight",,
40,,,
41,"Uncorrected personality traits that seem whimsical in a child may prove to Be ugly in a fully grown adult. Lack of involvement with the father, or over-involvement with the mother, Can result in lack of ability to relate to sexual fears, and in homosexual Leanings, narcissism, transexuality  (Girls from the waist up, men from the waist down),  Attempts to be your own love object.  Reconcile your parents to you by becoming both at once! Even Marilyn Monroe was a man, but this tends to get overlooked by our Mother-fixated, overweight, sexist media. So, Uncorrected personality traits that seem whimsical in a child may prove to Be ugly in a fully grown adult. If you give in to them Every time they cry They will become little tyrants But they won't remember why Then when they are thwarted By people in later life They will become psychotic And they won't make an ideal husband or wife The spoiled baby grows into The escapist teenager who's The adult alcoholic who's The middle-aged suicide (Oy) So, Uncorrected personality traits that seem whimsical in a child may prove to Be ugly in a fully grown adult.",,
42,,,
43,,,
44,,,
45,"If I would tell you How much you mean to me I think you wouldn't understand it So I wait I wait Until this day comes When you will understand me But I can't help myself I can't stop myself I am going crazy And I cannot stop myself I cannot control myself I am going crazy And I love you, I want you I want to talk to you I want to be with you And I love you, I want you I want to talk to you I want to be with you Oh, I cannot change it I'm sure not making it One big hell of a fuss I cannot turn my back I've got to face the fact Life without you is hazy And I love you, I want you I want to talk to you I want to be with you And I love you, I want you I want to talk to you I want to be with you Kiss me, thrill me, don't say good bye Hug me, love me don't say goodbye Oh oh oh Don't say goodbye Oh but I can't help myself I can't stop myself I am going crazy I cannot turn my back I've got to face the fact Life without you is hazy And I love you, I want you I want to talk to you I want to be with you And I love you, I want you I want to talk to you I want to be with you Oh uho uho oh, oh uho uho oh Kiss me goodbye",,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,"Hold the pose, a perfect picture Just so I remember how you're looking tonight Let it go, now the days gone Standing in the dark, although we've turned on the lights Tonight we will deny, that time is passing by It's leaving you and I to... Freeze A moment, it's never been better Freeze All over, we won't last forever You said that you're sorry for pushing me But then smiled when I opened my eyes I'm gonna Freeze A moment, while we're together Keep the peace, by gones be gone Coming up the rain under the life that we've made Under here, we're not so soft Forgiving the feeling that we put on parade Tonight we will deny, that time is passing by It's leaving you and I to... Freeze A moment, it's never been better Freeze All over, we won't last forever You said that you're sorry for pushing me But then smiled when I opened my eyes I'm gonna Freeze A moment, while we're together Don't stop, gotta know what you got There's no second chances in life Don't break, gotta give what you take With you Freeze A moment, it's never been better Freeze All over, we won't last forever Freeze A moment, it's never been better I Freeze All over, we won't last forever You looked at me with the truth in your eyes And you said it's ok, you can go I'm gonna Freeze This moment, while we're together Freeze A moment",,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,"I'll sing it one last time for you Then we really have to go You've been the only thing that's right In all I've done. And I can barely look at you But every single time I do I know we'll make it anywhere Away from here Light up, light up As if you have a choice Even if you cannot hear my voice I'll be right beside you dear Louder, louder And we'll run for our lives I can hardly speak I understand Why you can't raise your voice to say To think I might not see those eyes It makes it so hard not to cry And as we say our long goodbyes I nearly do. Light up, light up As if you have a choice Even if you cannot hear my voice I'll be right beside you dear Louder, louder And we'll run for our lives I can hardly speak I understand Why you can't raise your voice to say Slower, slower We don't have time for that All I want is to find an easier way To get out of our little heads Have heart my dear We're bound to be afraid Even if it's just for a few days Making up for all this mess. Light up, light up As if you have a choice Even if you cannot hear my voice I'll be right beside you dear",,
60,"She's got eyes that cut you like a knife and Lips that taste like sweet red wine And pretty legs go to heaven every time She got a gentle way that puts me at ease When she walks in the room I can hardly breathe Got a devastating smile knock a grown man to his knees She's got whatever it is It blows me away She's everything I wanted to say to a woman But couldn't find the words to say She's got whatever it is I don't know what to do Because every time I try and tell her how I feel It comes out ""I love you"" You got whatever it is You know I've never been the type that would ever want to stay Bring 'em home at night and they're gone the next day But that all changed when she walked into my life People ask me what it is I tell them I don't know Just something about the woman makes my heart go haywire She's gonna be my wife She's got whatever it is It blows me away She's everything I wanted to say to a woman But couldn't find the words to say She's got whatever it is I don't know what to do Because every time I try and tell her how I feel It comes out ""I love you"" You got whatever it is 'Cause when she loves me Girl that's how I feel 'Cause when she loves me I'm on top of the world Because when she loves me I can live forever When she loves me I am untouchable She's got whatever it is It blows me away She's everything I wanted to say to a woman But couldn't find the words to say She's got whatever it is I don't know what to do Because every time I try and tell her how I feel It comes out ""I love you"" (I do) You got whatever it is",,
61,"What amounts to a dream anymore? A crude device; a veil on our eyes A simple plan we'd be different from the rest And never resign to a typical life Common fears start to multiply We realize, we're paralyzed Where'd it go, all that precious time? Did we even try to stem the tide? Why should we waste it on Buying into the same old lies? The longer we wait around The faster the years go by It's not too late To feel a little more alive Make our escape Before we start to vaporize Doubtless, we've been through this So if you want to follow me you should know I was lost then and I am lost now And I doubt I'll ever know which way to go",,
62,"I pretend that I'm glad you went away But these four walls close in more every day And I'm dying inside and nobody knows it but me Like a clown I put on a show The pain is real even if nobody knows And I'm crying inside and nobody knows it but me Why didn't I say the things I needed to say How could I let my angel get away Now my world is just a-tumblin' down I can say it so clearly but you're nowhere around The night are lonely, the days are so sad And I just keep thinkin' about the love that we had And I'm missing you and nobody knows it but me How blue can I get, you could ask my heart Just like a jigsaw puzzle it's been torn all apart A million words couldn't say just how I feel A million years from now, you know, I'll be loving you still The night are lonely, the days are so sad And I just keep thinkin' about the love that we had And I'm missing you and nobody knows it but me The night are lonely, the days are so sad And I just keep thinkin' about the love that we had And I'm missing you and nobody knows it but me",,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,"You are the sun, You are the only one, My heart is blue, My heart is blue for you Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen You are the sun, You are the only one, You are so cool, You are so rock & roll Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen You are the sun, You are the only one, You are so cool, You are so rock & roll, Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen Be my, be my, be my little rock & roll queen",,
71,"For a second there I thought you disappeared It rains a lot this time of year And we both go together if one falls down I talk out loud like you're still around, no no And I miss you I'm goin' back home to the west coast I wish you woulda put yourself in my suitcase I love you Standin' all alone in a black coat I miss you I'm goin' back home to the west coast And if you shake her heart enough she will appear Tonight I think I'll be stayin' here And you never did like this town I talk out loud like you're still around, no no And I miss you I'm goin' back home to the west coast I wish you woulda put yourself in my suitcase I love you Standin' all alone in a black coat I miss you I'm goin' back home to the west coast Lalalala, lalalala Lalalala, lalalala So pack up the bags to beat back the clock Do I let her sleep or should I wake her up You said, we both go together if one falls down Yeah right, heh I talk out loud like you're still around, no no And I miss you I m goin' back home to the west coast I wish you woulda put yourself in my suitcase I love you Standin' all alone in a black coat I miss you I'm goin' back home to the west coast I'm goin' back home to the west coast I'm goin' back home to the west coast Lalalala Lalalala",,
72,,,
73,,,
74,How can I go home With nothing to say I know you're going to look at me that way And say what did you do out there? And what did you decide? You said you needed time And you had time You are a china shop And I am a bull You are really good food And I am full I guess everything is timing I guess everything's been said So I am coming home with an empty head You'll say did they love you or what? I'll say they love what I do The only one who really loves me is you And you'll say girl you kick some butt And I'll say I don't really remember But my fingers are sore And my voice is too You'll say it's really good to see you You'll say I missed you horribly You'll say let me carry that Give that to me And you will take the heavy stuff And you will drive the car And I'll look out the window and make jokes About the way things are How can I go home Nothing to say I know you're going to look at me that way And say what did you do out there And what did you decide You said you needed time And you had time You had time You had time You had time You had time,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,"From Paris to Berlin In every disco I get in My heart is pumping for love Pumping for love 'Cause when I'm thinking of you And all the things we could do My heart is pumping for love You left me longing for you From Paris to Berlin In every disco I get in My heart is pumping for love Pumping for love 'Cause when I'm thinking of you And all the things we could do My heart is pumping for love Patience is a game And every night I say your name Hoping that you'll answer 'Cause I'm going insane It's quite along time ago  You brought me out of control Hungry for you lovin' Like I know what that might be From Paris to Berlin In every disco I get in My heart is pumping for love Pumping for love 'Cause when I'm thinking of you And all the things we could do My heart is pumping for love You left me longing for you You left me longing for you You left me longing for you You left me longing for you Teasing was the thing  And now I just can't let it go Meeting you was something no one else needs to know I guess I'm thinking of you,  Like I would know what to do If and when I found you, but I don't  I've got no clue From Paris to Berlin In every disco I get in My heart is pumping for love Pumping for love 'Cause when I'm thinking of you And all the things we could do My heart is pumping for love You left me longing for you You left me longing for you You left me longing for you You left me longing for you From Paris to Berlin In every disco I get in My heart is pumping for love Pumping for love 'Cause when I'm thinking of you And all the things we could do My heart is pumping for love You left me longing for you From Paris to Berlin In every every disco I get in My heart is pumping for love Pumping for love 'Cause when I'm thinking of you And all the things we could do My heart is pumping for love You left me longing for you You left me longing for you You left me longing for you You left me longing for you You left me longing for you",,
82,,,
83,,,
84,"Oh, Danny boy, the pipes, the pipes are calling From glen to glen, and down the mountain side. The summer's gone, and all the roses falling, It's you, it's you must go and I must bide. But come ye back when summer's in the meadow, Or when the valley's hushed and white with snow, It's I'll be here in sunshine or in shadow, Oh, Danny boy, oh Danny boy, I love you so! But when ye come, and all the flowers are dying, If I am dead, as dead I well may be, You'll come and find the place where I am lying, And kneel and say an Ave there for me. And I shall hear, though soft you tread above me, And all my grave will warmer, sweeter be, For you will bend and tell me that you love me, And I shall sleep in peace until you come to me!",,
85,,,
86,,,
87,,,
88,"My daddy was a bank robber But he never hurt nobody He just loved to live that way And he loved to steal your money Some is rich, and some is poor And that's the way the world is But I don't believe in laying back Sayin' how bad your luck is So he came to jazz it up Never learned to shovel Break your back to earn our pay Don't forget to grovel My daddy was a bank robber But he never hurt nobody He just loved to live that way And he loved to take your money He's gone now The old man spoke up in a bar Said ""I never been in prison A lifetime serving one machine Is ten times worse than prison"" Imagine if all the boys in jail Could get out now together Whadda you think they'd want to say to us? While we was being clever Someday you'll meet your rocking chair 'Cause that's where we're spinning There's no point to want to comb your hair When it's grey and thinning Oh Hey, my daddy was a bank robber But he never hurt nobody He just loved to live that way And he loved to steal your money So he came to jazz it up We never learned to shovel Break your back to earn your pay And don't forget to grovel, hey Get away, get away, get away, get away, get away, get away, get away My daddy was a bank robber But he never hurt nobody He just loved to live that way And he loved to steal your money Hey Run, rabbit run Brrrp, strike out boys, for the hills I can find that hole in the wall I know that they never will Daddy was a bank robber But he never hurt nobody He just loved to live that way",,
89,,,
90,,,
91,,,
