,0,1,2
0,,,
1,,,
2,,,
3,"I wanted you to know I love the way you laugh I want to hold you high and steal your pain away I keep your photograph, and I know it serves me well I want to hold you high and steal your pain 'Cause I'm broken when I'm lonesome And I don't feel right when you've gone away You've gone away You don't feel me here anymore The worst is over now and we can breathe again I want to hold you high, and steal my pain away There's so much left to learn, and no one left to fight I want to hold you high and steal your pain 'Cause I'm broken when I'm open And I don't feel like I am strong enough 'Cause I'm broken when I'm lonesome And I don't feel right when you're gone away 'Cause I'm broken when I'm open And I don't feel like I am strong enough 'Cause I'm broken when I'm lonesome And I don't feel right when you're gone away 'Cause I'm broken when I'm lonesome And I don't feel right when you're gone away You've gone away You don't feel me here anymore",,
4,,,
5,,,
6,,,
7,"Hey, Mmmm Well I don't know how to say this right And the words got me choking I keep hitting this wall It's never gonna fall And we're still broken This mountain we've been trying to climb It's never ending Just can't do nothing, gotta do something 'Cause if we don't open up our eyes We're just pretending Well there's a time for giving up Didn't wanna have to say it All we're doing is building walls And now there's too many barriers Here we are lying here It's our last final goodnight Just because it feels so good We're used to pretending we're alright Too many locks (locks), too many cries (cries) Too many tears (tears), too many lies (lies) Too many barriers (barriers) Oh, just too many barriers Now we've been draggin' this whole thing out But I can't wait any longer Our love's burnin' down Creepin' in the doubt, we're not gettin' any stronger I hear you say that we're doin' okay But, baby, I don't think so Just can't do nothin'; gotta do somethin' 'Cause if I don't get into my car I won't go very far Well, there's a time for givin' up Didn't wanna have to say it All we're doin' is building walls Now there's too many barriers Here we are, lyin' here It's our last final goodnight Just because it feels so good We're used to pretending we're alright Too many locks (locks), too many cries (cries) Too many tears (tears), too many lies (lies) Too many barriers (barriers) Too many barriers Just too many barriers That we keep running into Been tryin', but we just can't break through I know I'm gonna keep wishin' I was with you But we just gotta stop... Here we are, lyin' here It's our last final goodnight Just because it feels so good We're used to pretending we're alright Too many locks (locks), too many cries (cries) Too many tears (tears), too many lies (lies) Too many lies In a hurry to get somewhere And the road's tryin' to block ya, block ya (too many barriers) And you feel like you're nowhere 'Cause the world's tryin' to stop ya, stop ya (too many barriers) In a hurry to get somewhere And the road's tryin' to block ya, block ya (too many barriers) And you feel like you're nowhere 'Cause the world's tryin' to stop ya, stop ya (too many barriers)",,
8,"I'm running out of patience 'Cause I can't believe what the hell I'm hearing And speaking of hell It don't compare to this heat That I am feeling I love you too much It shows All my emotions go Out of control oh whoa whoa Good for you bad for me When I can hardly see From the tears that flow oh whoa Can't forget to breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Before I lose it get comp- oh oh oh 'sure I am gunna breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Ladies never lose comp, oh oh oh 'sure Not goin' lie Or even try You've got my wheel spinning And I ain't the one to show The gun 'Cause that means you will be Winning oh yeah I love you too much It shows All my emotions go Out of control oh whoa whoa Good for you bad for me When I can hardly see From the tears that flow oh whoa Ooh oh ooh Can't forget to breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Before I lose it get comp- oh oh oh 'sure I am goin' breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Ladies never lose comp- oh oh oh 'sure Somebody better hold me back You're lucky I know how to act (so lucky ain't goin' attack) I'm being calm and cool But believe me you It's taking everything to just Breathe breathe breathe Can't forget to breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Before I lose it get comp- oh oh oh 'sure I am goin' breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Ladies never lose comp- oh oh oh 'sure Can't forget to breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Before I lose it get comp- oh oh oh 'sure I am goin' breathe slow Count from one to ten With my eyes closed 'Cause ladies take it in And get comp- oh oh oh 'sure Ladies never lose comp- oh oh oh 'sure",,
9,,,
