,0,1,2
0,,,
1,What would you do if you turned around And saw me beside you Not in a dream but in a song? Would you float like a phantom Or would you sing along? Don't know where I'm going Don't know where it's flowing But I know it's finding you What would you do If you saw me driving by in a car The quickest you've ever seen me spin? Would you smile and wave Or would you bow and get in? Don't know where I'm going Don't know where it's flowing But I know it's finding you But then the lightning finds us Burns away our kindness We can't find a place to hide Come the rainy season Surrender to our treasons Can we even find our tears? Don't know where I'm going Don't know where it's flowing  But I know it's finding you,,
2,,,
3,"How many more times, treat me the way you wanna do How many more times, treat me the way you wanna do When I give you all my love, please, please be true I'll give you all I've got to give, rings, pearls, and all I'll give you all I've got to give, rings, pearls, and all I've got to get you together baby, I'm sure, sure you're gonna crawl I was a young man, I couldn't resist Started thinkin' it over, just what I had missed Got me a girl and I kissed her and then and then Whoops, oh lord, well I did it again Now I've got ten children of my own I got another child on the way that makes eleven But I'm in constant heaven I know it's all right in my mind 'Cause I got a little schoolgirl and she's all mine I can't get through to her 'cause it doesn't permit But I'm gonna give her everything I've got to give Oh, Rosie, oh, girl, oh, Rosie, oh, yeah Steal away now, steal away Steal away, baby, steal away Little Robert Anthony wants to come and play Why don't you come for me, baby, steal away, alright, alright Well, they call me the hunter, that's my name Call me the hunter, that's how I got my fame Ain't no need to hide, ain't no need to run 'Cause I've got you in the sights of my gun How many more times, barrel house all night long How many more times, barrel house all night long Well I've got to get to you, baby, oh, please come home Why don't you listen to me, babe Why don't you please come home Why don't you please come home Why don't you please come home","How many more times, treat me the way you wanna do How many more times, treat me the way you wanna do When I give you all my love, please, please be true I'll give you all I've got to give, rings, pearls, and all I'll give you all I've got to give, rings, pearls, and all I've got to get you together baby, I'm sure, sure you're gonna crawl I was a young man, I couldn't resist Started thinkin' it over, just what I had missed Got me a girl and I kissed her and then and then Whoops, oh lord, well I did it again Now I've got ten children of my own I got another child on the way that makes eleven But I'm in constant heaven I know it's all right in my mind 'Cause I got a little schoolgirl and she's all mine I can't get through to her 'cause it doesn't permit But I'm gonna give her everything I've got to give Oh, Rosie, oh, girl, oh, Rosie, oh, yeah Steal away now, steal away Steal away, baby, steal away Little Robert Anthony wants to come and play Why don't you come for me, baby, steal away, alright, alright Well, they call me the hunter, that's my name Call me the hunter, that's how I got my fame Ain't no need to hide, ain't no need to run 'Cause I've got you in the sights of my gun How many more times, barrel house all night long How many more times, barrel house all night long Well I've got to get to you, baby, oh, please come home Why don't you listen to me, babe Why don't you please come home Why don't you please come home Why don't you please come home",
4,,,
5,,,
6,"I want to be a good woman And I want, for you to be a good man. This is why I will be leaving And this is why, I can't see you no more. I will miss your heart so tender  And I will love This love forever I don't want be a bad women And I can't stand to see you be a bad man I will miss your heart so tender And I will love This love forever And this is why I am leaving And this is why I can't see you no more This is why I am lying when I say That I don't love you no more 'Cause I want (to) be a good women And I want for to be a good man",,
7,"I want to be a good woman And I want, for you to be a good man. This is why I will be leaving And this is why, I can't see you no more. I will miss your heart so tender  And I will love This love forever I don't want be a bad women And I can't stand to see you be a bad man I will miss your heart so tender And I will love This love forever And this is why I am leaving And this is why I can't see you no more This is why I am lying when I say That I don't love you no more 'Cause I want (to) be a good women And I want for to be a good man",,
8,,,
9,,,
